vote age men economic.cond.national economic.cond.household Blair Hague Kennedy Europe political.knowledge
534 "Liberal Democrat"    71  0   3   3   4   2   4   11  0
535 Labour                73  1   4   5   4   1   4    3  2
536 "Liberal Democrat"    52  1   4   2   4   2   4    4  3
537 "Liberal Democrat"    66  1   4   3   5   1   4    4  3
538 Conservative          38  1   2   3   4   4   2   11  2
539 Labour                44  1   5   3   4   2   4    8  0
540 "Liberal Democrat"    83  0   3   4   4   2   3    4  2
541 Labour                34  1   3   3   4   1   4    1  3
542 Conservative          75  1   1   5   2   4   4   11  2
543 Conservative          66  1   3   3   2   4   3    5  0
544 Labour                74  0   3   4   2   2   4    6  2
545 Labour                46  0   4   4   4   1   1   11  2
546 "Liberal Democrat"    76  1   4   2   2   2   2    3  3
547 Conservative          53  0   2   1   2   5   4    4  2
548 "Liberal Democrat"    46  0   2   2   2   4   3    8  0
549 Conservative          43  1   4   3   4   2   1   11  3
550 "Liberal Democrat"    29  0   4   3   4   2   4    4  2
551 Labour                53  0   4   4   4   1   4   10  2
552 Conservative          31  0   2   2   2   4   2    6  2
553 Conservative          54  1   4   3   2   4   3   11  2
554 Conservative          54  0   3   4   2   4   3    9  2
555 Conservative          38  1   2   5   2   4   2   10  2
556 Labour                54  0   5   3   5   2   3    6  2
557 Labour                41  0   3   2   4   2   2    8  0
558 Labour                77  1   5   2   4   2   4    4  2
559 Conservative          39  1   2   4   1   2   2   11  3
560 Conservative          53  0   3   3   2   2   4    5  2
561 "Liberal Democrat"    42  1   4   4   4   2   4   11  0
562 "Liberal Democrat"    46  1   3   4   4   1   4    2  0
563 Labour                37  1   4   2   4   2   5    8  1
564 Labour                41  1   4   3   4   4   4    8  2
565 Labour                40  0   3   3   2   4   2    6  2
566 Labour                84  1   5   4   5   1   2    1  2
567 "Liberal Democrat"    43  1   3   3   4   1   2    4  3
568 "Liberal Democrat"    81  0   4   3   1   2   4   11  2
569 Labour                41  0   3   4   4   4   3    4  2
570 Labour                46  0   4   2   2   2   2    5  2
571 Conservative          64  1   3   3   1   2   2    3  2
572 "Liberal Democrat"    67  0   4   4   4   4   5   10  3
573 Conservative          71  1   1   4   2   4   2    8  0
574 Conservative          89  1   2   2   1   4   4    1  0
575 Conservative          76  0   3   4   4   4   2   10  3
576 Conservative          50  1   4   3   2   4   4    9  2
577 Conservative          53  0   3   2   2   4   2   11  2
578 Conservative          74  0   4   3   2   4   2    8  2
579 "Liberal Democrat"    76  1   4   3   4   4   4    8  0
580 "Liberal Democrat"    84  1   4   3   4   2   5    1  3
581 Labour                68  0   5   4   5   4   4   11  0
582 "Liberal Democrat"    46  0   3   3   2   4   4    6  0
583 Conservative          39  0   3   3   1   4   1   11  2
584 Conservative          64  0   2   3   2   4   4   10  2
585 Labour                43  0   4   2   5   1   3    6  0
586 Conservative          59  1   4   3   3   5   3    9  3
587 Labour                58  1   4   3   5   2   3    3  2
588 Labour                70  0   4   2   2   1   1   11  2
589 Conservative          35  0   3   4   2   4   3   11  2
590 Labour                36  1   5   5   4   2   4    1  3
591 Conservative          77  1   3   3   4   4   2    9  3
592 Labour                52  1   4   4   4   2   4    4  2
593 "Liberal Democrat"    65  1   3   1   4   2   2   11  2
594 Conservative          60  0   3   2   2   4   4   11  2
595 Conservative          48  0   3   3   2   5   3   10  2
596 Labour                38  1   4   3   5   5   4    3  2
597 Conservative          70  0   3   3   2   4   3    7  2
598 Conservative          50  1   3   2   2   2   2    3  2
599 "Liberal Democrat"    47  0   4   4   2   2   1    5  3
600 Conservative          62  0   3   3   4   3   3   11  2
601 "Liberal Democrat"    64  1   5   3   4   2   1    1  3
602 Conservative          62  1   3   3   2   4   2    4  0
603 Labour                57  0   3   4   4   2   4    6  0
604 Labour                65  0   3   3   4   2   4   11  0
605 Conservative          55  1   4   4   4   2   4    8  2
606 Conservative          64  0   4   1   4   4   2    9  0
607 Conservative          32  0   2   3   2   4   2   11  2
608 Conservative          72  0   3   3   1   2   1   11  2
609 "Liberal Democrat"    65  1   3   3   4   2   2    5  2
610 "Liberal Democrat"    84  0   4   2   4   1   4    4  3
611 Conservative          49  1   3   4   2   4   2   11  2
612 "Liberal Democrat"    55  0   3   3   4   2   4   11  2
613 "Liberal Democrat"    48  1   4   3   4   4   5   10  2
614 Conservative          30  1   2   3   4   4   5    7  3
615 Conservative          40  0   3   4   2   2   2    9  2
616 Conservative          35  1   2   2   1   4   3   11  2
617 Labour                51  1   4   4   2   2   4    5  3
618 Conservative          75  1   5   3   2   4   2   11  2
619 Labour                54  1   4   4   2   2   4    3  2
620 Labour                32  0   4   5   2   4   2    7  2
621 Conservative          64  1   3   3   4   4   3    6  0
622 "Liberal Democrat"    54  0   3   3   4   4   5    6  3
623 Labour                76  1   3   3   4   2   2   11  2
624 "Liberal Democrat"    47  0   3   2   2   2   2    6  2
625 Conservative          33  0   2   4   2   2   3   11  3
626 Conservative          88  0   4   2   4   4   4    2  0
627 "Liberal Democrat"    39  1   3   4   4   2   4    5  2
628 Conservative          66  1   3   3   2   5   2   11  2
629 Conservative          37  0   2   3   2   4   2   10  2
630 Labour                81  0   1   3   4   2   4   11  1
631 "Liberal Democrat"    64  0   4   4   4   4   5    5  2
632 Labour                37  0   4   3   4   2   4    4  2
633 "Liberal Democrat"    48  0   2   2   2   4   1    9  2
634 Conservative          42  1   2   2   2   4   4   11  3
635 "Liberal Democrat"    53  0   3   1   2   4   4    6  3
636 Conservative          57  0   2   3   2   2   4    4  0
637 Labour                39  1   2   2   4   1   4   10  2
638 Conservative          56  0   3   3   2   4   1    3  2
639 Labour                41  1   4   4   4   2   2    5  2
640 Conservative          45  0   4   3   4   4   4   10  2
641 Conservative          85  0   4   3   2   4   4   11  2
642 Labour                57  0   3   3   4   2   4    4  2
643 Labour                37  1   4   4   4   4   2    3  2
644 Labour                53  0   4   2   1   4   4   11  2
645 Labour                35  0   3   4   4   4   3   10  0
646 Labour                41  0   4   4   4   1   4    4  0
647 Conservative          37  0   2   4   2   5   2    9  2
648 "Liberal Democrat"    32  0   4   3   2   2   4    6  2
649 Conservative          30  1   3   1   2   4   5   11  2
650 Conservative          61  0   4   3   4   4   2    7  2
651 Labour                36  0   4   4   4   4   4    1  0
652 Labour                59  0   5   3   2   4   1   11  0
653 Conservative          72  1   5   1   4   1   4   11  2
654 Conservative          55  0   3   4   4   5   3    8  3
655 Labour                48  0   3   2   2   3   3   11  0
656 Labour                57  0   4   4   4   2   4   11  0
657 Conservative          68  0   3   3   4   3   3   11  2
658 Conservative          78  1   2   3   1   4   1   11  3
659 Conservative          68  0   2   4   4   2   4    6  0
660 Conservative          67  1   3   3   5   5   5    7  2
661 Conservative          35  0   3   2   4   4   4    7  2
662 Labour                36  0   4   3   2   2   3    8  2
663 Labour                30  0   4   2   4   2   4   11  2
664 "Liberal Democrat"    37  1   4   3   4   4   4   10  2
665 Conservative          43  1   3   2   2   4   3    9  2
666 "Liberal Democrat"    80  1   5   3   2   5   4    9  0
667 Conservative          35  0   2   4   2   2   2    7  2
668 Conservative          36  0   2   2   4   2   4   11  3
669 Conservative          81  0   4   5   2   4   2   11  2
670 "Liberal Democrat"    40  0   4   4   4   2   2    3  2
671 "Liberal Democrat"    69  0   4   2   2   4   4   10  0
672 "Liberal Democrat"    47  0   2   2   4   2   4   10  2
673 "Liberal Democrat"    31  1   3   2   4   4   3    4  2
674 Labour                79  1   5   4   4   2   4    6  2
675 "Liberal Democrat"    43  1   4   1   2   4   3    6  2
676 Conservative          72  0   3   3   2   4   3   11  2
677 Conservative          36  1   2   3   2   4   3   10  2
678 Labour                47  1   3   3   4   2   4   11  0
679 Conservative          66  1   4   5   2   5   2   11  2
680 Conservative          36  1   3   4   4   4   3    6  2
681 Conservative          46  1   3   3   2   2   2   11  2
682 Conservative          47  0   2   2   1   5   2   11  3
683 Conservative          75  0   3   4   4   4   2   11  2
684 Conservative          74  0   4   3   4   4   4   10  2
685 Conservative          54  0   2   4   2   2   1   11  2
686 Conservative          79  0   3   3   4   4   2   11  2
687 Labour                75  0   3   4   5   2   2    3  0
688 Conservative          71  0   3   3   2   4   2    5  2
689 Conservative          50  0   2   4   2   5   4   11  2
690 "Liberal Democrat"    56  0   3   3   2   3   3    6  3
691 Conservative          52  0   4   3   2   4   2    7  2
692 Labour                33  1   4   4   4   2   4    6  2
693 Labour                72  0   5   3   4   1   4   11  2
694 Labour                47  0   4   3   4   4   4    5  2
695 Labour                35  1   4   4   2   1   2   11  0
696 Labour                68  1   3   5   4   4   4   11  2
697 Labour                78  0   5   4   4   2   4    1  2
698 Labour                47  0   4   3   2   4   2    2  0
699 Labour                52  1   3   3   2   1   4    1  2
700 Labour                72  1   4   4   5   4   4    2  2
701 Labour                47  0   3   3   4   2   4    4  0
702 Labour                50  1   4   3   2   2   3   10  0
703 Labour                59  1   3   4   4   2   4    2  3
704 Conservative          37  1   4   4   2   2   2    8  2
705 Labour                72  1   4   4   4   2   4    3  2
706 Labour                35  1   3   4   4   4   4    3  3
707 Conservative          48  1   2   2   4   2   4    8  0
708 Labour                64  1   5   4   4   4   4   11  0
709 "Liberal Democrat"    57  0   4   5   4   1   4    3  2
710 Labour                42  1   4   3   4   2   4    3  2
711 "Liberal Democrat"    39  1   5   3   4   2   4    5  3
712 Conservative          75  0   2   2   4   4   2    6  0
713 "Liberal Democrat"    43  1   3   4   4   4   4    6  2
714 Labour                43  1   4   4   4   2   4    1  1
715 Labour                37  0   3   2   4   4   5    5  2
716 Labour                67  1   4   3   5   2   2    2  2
717 Labour                59  0   4   1   4   1   3   11  1
718 Labour                52  0   3   3   4   1   2    6  2
719 Labour                45  1   5   4   4   2   3    9  0
720 Conservative          55  1   3   2   2   4   2   10  3
721 Labour                70  1   2   2   2   5   2   11  0
722 Conservative          64  1   3   3   2   4   1   11  2
723 "Liberal Democrat"    35  0   4   4   4   2   4    6  2
724 "Liberal Democrat"    38  1   3   3   4   1   2    7  3
725 "Liberal Democrat"    31  0   3   2   2   2   4    7  2
726 "Liberal Democrat"    38  1   3   3   4   1   4    5  3
727 Labour                43  0   2   2   4   2   2    9  0
728 Labour                46  0   4   5   1   1   4    6  0
729 "Liberal Democrat"    42  0   4   4   2   2   2    6  2
730 Labour                44  0   5   1   5   1   3    4  3
731 Labour                40  0   5   3   4   2   4    4  2
732 Labour                37  0   4   4   4   1   3    1  2
733 Labour                47  1   4   3   4   3   3    5  3
734 Labour                44  0   5   3   4   1   2    3  3
735 Labour                29  1   4   3   4   2   4    4  2
736 Labour                37  1   4   4   4   2   4    2  3
737 "Liberal Democrat"    46  1   3   3   4   2   4    8  2
738 Labour                62  1   3   3   4   1   3    6  3
739 Labour                46  1   5   4   5   2   2    9  0
740 Labour                79  0   4   5   5   3   3    7  1
741 Labour                38  1   4   4   4   2   2    2  3
742 Conservative          29  0   3   3   2   2   2    7  0
743 Labour                56  0   3   2   2   2   2    4  0
744 "Liberal Democrat"    45  1   2   2   4   2   4    6  2
745 Labour                53  1   4   3   4   4   4    5  0
746 Conservative          70  0   2   2   4   2   2   10  2
747 Conservative          44  1   3   2   2   4   2   11  2
748 "Liberal Democrat"    51  0   4   4   4   2   4   11  2
749 Conservative          69  0   1   1   4   2   4   11  0
750 Conservative          43  1   2   2   2   4   3    6  0
751 Conservative          56  0   4   3   4   4   4    3  0
752 Labour                45  1   4   4   4   2   4    5  3
753 Labour                45  0   5   3   4   4   4    3  1
754 Conservative          49  1   2   2   4   4   4   10  2
755 Conservative          32  0   2   3   2   5   2    1  0
756 Conservative          58  0   2   3   2   2   3    7  2
757 "Liberal Democrat"    49  0   4   4   4   2   4    8  0
758 Labour                75  1   3   4   4   3   3    1  2
759 Conservative          36  1   2   2   2   2   1    9  3
760 "Liberal Democrat"    61  0   3   3   4   4   4    8  2
761 Conservative          76  1   3   3   4   4   3   10  2
762 Labour                36  1   3   4   4   4   3    9  0
763 Labour                37  0   3   3   2   1   1    9  0
764 Conservative          77  0   2   2   1   4   3    8  3
765 Labour                25  1   4   4   4   2   4    6  2
766 Conservative          49  0   3   5   4   4   4    8  2
767 "Liberal Democrat"    59  0   2   2   2   2   4   11  0
768 Conservative          31  1   2   2   2   4   1    5  2
769 Conservative          35  1   2   2   2   4   1   11  3
770 Labour                36  1   3   2   4   2   2    9  0
771 Labour                30  0   2   1   4   4   3    2  3
772 Labour                61  1   4   3   5   2   1    9  0
773 Conservative          52  0   2   3   2   5   2   11  2
774 Conservative          56  0   4   3   2   4   4   10  2
775 Labour                53  0   4   4   4   4   3    8  2
776 "Liberal Democrat"    46  0   3   4   4   2   5    3  3
777 Conservative          27  0   3   4   2   2   2    9  2
778 Labour                60  1   5   4   4   2   4    2  2
779 Conservative          75  1   4   3   4   4   1   11  2
780 "Liberal Democrat"    80  1   5   5   4   4   2    4  0
781 Labour                61  0   5   4   4   1   4    1  2
782 Conservative          55  1   2   2   1   4   4    7  2
783 "Liberal Democrat"    35  1   4   4   5   2   2    6  2
784 "Liberal Democrat"    49  0   2   4   2   2   3    5  2
785 "Liberal Democrat"    45  1   2   3   4   2   4    2  3
786 Labour                52  0   4   2   4   1   4    5  2
787 Labour                75  0   5   2   5   1   4    1  2
788 "Liberal Democrat"    85  0   4   2   4   1   4    1  3
789 Labour                38  1   4   4   4   1   4    5  2
790 Labour                34  0   4   5   4   4   2    8  0
791 "Liberal Democrat"    61  0   3   3   2   1   2    7  2
792 Labour                54  1   2   3   2   1   2    5  3
793 "Liberal Democrat"    58  0   3   3   4   4   5    4  3
794 "Liberal Democrat"    54  1   4   4   4   2   4   10  0
795 Labour                50  1   3   5   5   1   4    3  2
796 Labour                29  0   4   4   4   2   2   10  0
797 Labour                51  0   4   3   4   2   1    6  2
798 Labour                72  1   4   4   5   1   4    2  2
799 "Liberal Democrat"    50  0   2   2   2   2   4    6  2
800 Labour                85  0   2   3   4   3   4    6  2
801 Conservative          42  0   2   2   1   4   4    7  2
802 "Liberal Democrat"    34  1   4   3   4   1   2    5  2
803 Conservative          70  0   3   3   2   2   2    4  2
804 Labour                36  1   4   5   5   4   4    6  0
805 Conservative          35  1   3   5   4   4   2    8  3
806 Conservative          38  1   4   2   4   5   3   10  2
807 "Liberal Democrat"    53  0   2   3   2   2   2    5  3
808 Labour                77  1   4   4   5   2   4    5  2
809 Labour                37  1   2   4   4   1   4    5  3
810 Labour                75  1   2   2   2   4   3    3  3
811 Labour                45  0   4   5   5   4   4   10  3
812 Conservative          82  1   3   3   4   4   3   11  2
813 Labour                48  1   3   3   4   2   4    8  3
814 Labour                68  1   3   3   4   1   1    6  2
815 "Liberal Democrat"    48  0   3   3   4   1   5    2  3
816 Labour                87  1   4   4   4   2   4    3  2
817 Labour                52  0   4   4   4   3   3    4  3
818 Conservative          53  1   4   3   4   5   4   10  2
819 Conservative          66  0   1   2   1   4   2   11  3
820 "Liberal Democrat"    85  0   3   4   4   4   4    5  2
821 Labour                47  1   4   3   4   4   2    4  0
822 "Liberal Democrat"    51  0   3   4   4   2   2   11  2
823 Labour                41  0   4   4   4   4   3    5  2
824 "Liberal Democrat"    54  0   4   2   4   4   4    2  2
825 Labour                76  1   4   3   5   4   4   10  2
826 Conservative          72  1   3   3   2   4   2    6  2
827 "Liberal Democrat"    31  0   3   2   4   2   3    6  0
828 Conservative          27  0   3   3   2   4   4    5  2
829 Conservative          79  0   3   3   2   4   2    1  0
830 "Liberal Democrat"    46  1   2   3   4   4   3    1  2
831 Conservative          31  1   3   3   4   5   4    9  2
832 "Liberal Democrat"    66  0   4   3   4   2   4    5  3
833 Labour                42  1   4   4   4   2   2    4  2
834 "Liberal Democrat"    51  1   3   4   4   2   4    4  2
835 "Liberal Democrat"    75  0   4   4   4   1   5    3  3
836 Labour                44  0   3   3   4   2   4   11  0
837 Labour                63  0   3   3   4   3   3   11  2
838 Conservative          77  0   2   3   2   2   2   10  2
839 Conservative          75  0   1   3   2   2   4   11  2
840 Labour                50  1   4   3   4   1   3    9  0
841 Labour                67  1   3   3   4   2   4    8  2
842 Conservative          64  0   3   1   2   4   4   11  0
843 Conservative          24  0   3   2   4   2   2   10  2
844 "Liberal Democrat"    44  1   3   1   4   2   4    6  2
845 Conservative          39  0   4   4   2   4   4    8  0
846 Conservative          70  0   3   1   4   4   4    7  2
847 Conservative          35  0   3   4   2   1   1   11  2
848 Conservative          33  0   3   4   2   4   2    6  2
849 Labour                36  0   2   2   4   1   2   10  0
850 Conservative          45  0   3   4   1   5   4   11  0
851 Labour                57  0   3   1   4   3   3   11  1
852 Labour                63  0   3   1   4   1   4    9  2
853 Conservative          64  0   2   4   1   4   3   10  2
854 "Liberal Democrat"    49  0   2   4   2   4   2    5  1
855 Labour                52  1   5   3   4   2   3   11  3
856 Labour                66  0   3   2   4   2   4    9  2
857 Labour                75  0   3   4   4   4   3    1  2
858 Labour                45  1   2   4   4   2   5    6  2
859 "Liberal Democrat"    39  1   3   3   4   2   4    8  0
860 "Liberal Democrat"    40  0   3   3   4   2   4    5  2
861 Conservative          43  1   3   4   2   4   1   11  2
862 Conservative          74  0   3   3   2   2   2    9  2
863 Conservative          70  1   3   3   4   2   2    5  2
864 Conservative          27  0   3   2   4   2   2    8  2
865 Conservative          57  0   4   3   2   4   1    9  2
866 Conservative          45  1   4   4   4   4   2    3  0
867 "Liberal Democrat"    49  0   2   3   4   1   4    6  2
868 Conservative          80  0   2   4   4   4   4   11  2
869 Conservative          51  0   3   3   2   4   4    9  2
870 Labour                33  0   4   4   4   1   4    9  0
871 "Liberal Democrat"    38  1   2   4   2   2   1    4  3
872 Conservative          48  0   2   3   1   4   2   11  2
873 Conservative          45  1   4   4   2   4   1   11  2
874 Conservative          42  0   2   2   2   4   1   11  3
875 Labour                50  1   3   4   4   4   4    8  2
876 Labour                49  0   4   4   4   2   4    9  0
877 Conservative          44  0   3   3   4   4   5   11  2
878 Labour                85  1   5   5   5   1   4    1  2
879 "Liberal Democrat"    86  0   3   4   1   4   4   11  2
880 Conservative          69  1   2   3   2   4   2   11  0
881 "Liberal Democrat"    32  1   2   5   4   2   4    4  3
882 "Liberal Democrat"    51  0   2   4   4   1   4    6  3
883 Conservative          69  0   3   3   2   2   2   11  2
884 Labour                81  1   5   3   5   2   4    8  2
885 "Liberal Democrat"    75  1   2   3   4   2   3    6  2
886 Conservative          70  0   4   3   4   4   3    6  0
887 Conservative          58  0   4   2   2   4   3   11  0
888 Labour                61  1   4   2   5   1   4    2  3
889 Conservative          57  0   2   3   4   4   2    6  0
890 Conservative          35  1   3   4   2   4   4   11  0
891 Conservative          37  0   2   3   2   2   4   10  0
892 Conservative          46  1   3   3   2   2   2    9  3
893 "Liberal Democrat"    66  0   4   3   2   1   4    6  3
894 Labour                51  0   4   3   4   2   4    2  2
895 Conservative          73  0   3   3   2   4   2   11  3
896 Labour                32  1   3   3   4   1   4    3  3
897 "Liberal Democrat"    30  0   3   3   2   4   4    6  2
898 Labour                38  0   4   2   4   2   1    6  2
899 Conservative          39  1   5   4   2   2   1   11  2
900 Conservative          49  1   3   4   4   5   4    9  0
901 Conservative          82  1   3   3   2   4   4   11  2
902 Labour                42  1   3   3   4   4   4    7  2
903 Labour                37  0   5   5   4   1   2    6  2
904 Conservative          58  0   3   2   4   4   3    7  0
905 "Liberal Democrat"    29  0   3   3   4   2   2    8  2
906 "Liberal Democrat"    27  1   5   5   2   1   4    4  3
907 Labour                57  1   5   5   5   2   4    9  0
908 Conservative          30  0   3   3   2   4   4    8  0
909 Conservative          43  0   3   4   2   2   4    9  2
910 Labour                62  1   5   4   4   1   4    2  3
911 "Liberal Democrat"    42  1   3   4   4   2   4    3  3
912 Labour                67  0   5   3   4   1   2    1  3
913 Labour                36  0   2   3   4   2   4    5  0
914 Labour                74  1   3   4   4   2   3    2  3
915 Labour                41  0   4   4   4   2   2    4  0
916 "Liberal Democrat"    27  0   3   4   4   4   4    5  3
917 Labour                29  0   4   4   4   2   4    2  2
918 Labour                38  0   3   3   4   2   2    6  2
919 "Liberal Democrat"    74  0   4   3   4   2   4    7  1
920 "Liberal Democrat"    38  1   3   2   4   4   4    2  2
921 "Liberal Democrat"    61  0   3   3   4   2   4    1  2
922 "Liberal Democrat"    65  1   4   4   4   2   1    3  0
923 Labour                36  1   3   3   4   4   2    5  0
924 "Liberal Democrat"    48  1   3   4   4   2   2    5  2
925 "Liberal Democrat"    39  0   2   4   2   4   4    8  0
926 Labour                48  0   3   3   4   1   1    6  2
927 Conservative          50  1   3   3   2   5   2    7  3
928 Conservative          71  0   2   2   4   5   2   11  2
929 "Liberal Democrat"    42  0   2   2   1   2   2    7  2
930 Labour                56  0   4   3   4   2   4    3  2
931 "Liberal Democrat"    64  0   1   3   2   1   3    3  0
932 "Liberal Democrat"    80  1   3   4   4   1   4    1  0
933 Conservative          56  0   4   3   4   4   4    5  0
934 Conservative          60  0   2   2   2   3   3   10  2
935 Conservative          39  1   2   2   1   4   4    9  2
936 Labour                43  1   2   1   4   2   4    8  2
937 Labour                35  1   3   2   4   2   4    3  2
938 Labour                66  0   5   3   5   1   2    3  2
939 Conservative          59  1   1   4   2   4   4   11  0
940 Labour                37  1   2   4   2   4   4    7  0
941 Labour                37  0   3   4   4   4   4    5  3
942 Labour                61  1   5   5   4   4   4    6  0
943 Labour                38  1   4   5   4   4   3    6  0
944 Labour                66  1   4   3   5   1   3    1  2
945 "Liberal Democrat"    41  1   3   3   2   4   3   11  0
946 Conservative          65  0   2   4   2   5   3   11  2
947 Labour                57  1   3   2   2   2   5    2  2
948 Conservative          62  1   2   1   1   4   1   11  2
949 Labour                31  1   4   5   4   2   2    4  3
950 Conservative          40  1   2   3   1   4   1    8  3
951 "Liberal Democrat"    49  0   3   3   2   1   4    9  2
952 Conservative          65  1   2   5   4   2   2   11  2
953 Labour                35  0   5   3   2   2   3   10  0
954 Labour                76  1   4   5   5   2   4    2  3
955 Conservative          74  0   2   2   2   4   3   10  2
956 Conservative          53  0   3   3   2   4   3    1  0
957 Labour                49  0   1   2   4   2   2   11  0
958 "Liberal Democrat"    37  1   3   2   4   2   4    7  2
959 Conservative          54  1   2   2   2   2   4    9  2
960 "Liberal Democrat"    75  1   4   4   1   1   5    1  3
961 Labour                76  1   4   3   5   2   5    9  3
962 Labour                58  0   3   3   4   2   4    2  2
963 Conservative          35  0   2   3   4   4   4   10  3
964 Conservative          66  0   3   3   2   3   2   11  1
965 Conservative          80  1   2   3   4   4   3    6  2
966 Conservative          53  1   4   3   4   2   4    5  2
967 Labour                64  1   3   2   5   2   1   11  2
968 Labour                71  0   3   4   4   1   2    4  0
969 Labour                40  0   4   2   4   1   4    4  0
970 Labour                62  0   4   3   4   4   3    2  2
971 Conservative          89  0   2   2   4   4   4   11  0
972 Labour                40  1   2   4   4   2   2    8  2
973 Labour                38  0   3   4   4   2   4    3  2
974 Labour                38  0   3   3   2   2   3   11  0
975 Labour                37  1   4   4   4   2   4   10  0
976 Labour                50  0   3   2   4   2   3   11  0
977 Conservative          53  1   2   5   1   4   4   11  2
978 Conservative          78  0   2   3   2   4   2   11  1
979 Labour                73  1   2   2   4   2   2   10  2
980 Labour                64  1   4   4   2   5   3   11  2
981 Labour                56  1   2   2   4   1   3    6  2
982 Conservative          73  0   4   3   2   2   4   11  2
983 Conservative          51  1   3   2   2   2   4    9  2
984 Conservative          74  0   4   3   2   4   5    8  2
985 Labour                39  0   4   5   5   4   3    6  2
986 Conservative          56  1   4   2   5   5   2    8  2
987 Conservative          80  0   4   2   4   5   3   11  2
988 Conservative          67  1   3   2   2   4   3   11  1
989 "Liberal Democrat"    61  1   2   2   4   4   4    9  0
990 Conservative          81  0   3   3   4   4   4   10  2
991 "Liberal Democrat"    35  0   2   3   4   2   4    3  3
992 Conservative          34  0   2   4   1   4   3   11  2
993 Conservative          49  1   1   2   2   4   4   11  3
994 "Liberal Democrat"    41  0   3   4   4   2   4   10  0
995 "Liberal Democrat"    58  1   5   3   4   1   4    5  2
996 Labour                37  1   4   3   4   2   2    5  0
997 Labour                38  1   4   2   5   4   4    1  0
998 Labour                47  1   4   4   4   1   4    4  3
999 Labour                75  0   4   5   4   4   3   11  2
1000    Labour                72  0   4   3   2   2   4   11  2
1001    "Liberal Democrat"    75  1   4   3   4   2   4   11  0
1002    Conservative          68  1   3   1   2   2   4   11  2
1003    Labour                70  1   5   4   2   5   5   11  0
1004    Conservative          72  0   2   2   4   4   4    4  0
1005    Labour                39  0   3   2   4   2   1    7  0
1006    Labour                47  0   4   3   4   2   3    5  2
1007    Labour                42  0   4   3   5   4   5    4  2
1008    Labour                75  1   4   4   4   1   3   11  0
1009    Conservative          75  0   2   2   2   4   2    8  3
1010    Labour                32  0   4   3   4   2   2    4  1
1011    Labour                76  0   4   4   5   2   4   11  0
1012    Labour                34  0   4   4   4   2   4    3  2
1013    Conservative          67  0   3   4   4   4   3    4  1
1014    "Liberal Democrat"    44  0   2   2   2   4   4   11  2
1015    Labour                42  1   3   5   2   1   2    9  0
1016    Conservative          40  0   2   3   4   4   2   11  2
1017    Labour                57  1   4   3   4   2   4    6  2
1018    Conservative          65  1   2   4   4   4   4    5  2
1019    Conservative          42  0   1   1   1   4   3    6  2
1020    Labour                77  1   4   5   4   2   4    1  0
1021    Labour                49  1   3   5   5   2   2    5  3
1022    "Liberal Democrat"    50  1   4   3   2   1   2   11  1
1023    Labour                76  1   4   4   5   4   4    3  2
1024    "Liberal Democrat"    72  1   3   3   2   2   4   11  2
1025    Labour                47  1   4   3   4   2   2    4  2
1026    Labour                52  0   4   4   4   2   4    4  2
1027    Conservative          68  0   2   3   1   4   3   11  2
1028    Labour                61  1   4   5   4   2   4   10  2
1029    Conservative          72  1   3   3   2   4   1   11  3
1030    Conservative          72  0   4   4   2   2   3    9  2
1031    Labour                45  0   3   3   4   2   4   11  0
1032    Conservative          47  0   2   3   2   4   3    8  2
1033    Conservative          35  1   2   3   2   3   3   10  2
1034    Labour                34  0   4   4   4   2   2    7  0
1035    Labour                39  0   4   3   4   2   2    3  2
1036    "Liberal Democrat"    53  1   2   4   1   4   4    2  0
1037    "Liberal Democrat"    27  0   3   5   2   4   4    6  2
1038    Labour                40  1   4   3   4   2   4    2  2
1039    Labour                29  0   4   3   4   4   2    6  3
1040    Conservative          43  0   5   5   2   4   2    4  2
1041    Conservative          59  0   3   3   2   4   2    4  3
1042    Conservative          78  0   4   4   2   2   4   10  0
1043    Labour                26  1   4   4   4   2   3    5  0
1044    Labour                34  1   4   5   4   2   2    5  2
1045    Labour                42  1   3   3   4   2   2    3  0
1046    "Liberal Democrat"    37  0   1   2   4   4   4   11  0
1047    Labour                50  0   1   1   4   4   2    6  0
1048    Labour                61  1   4   3   4   4   4   10  0
1049    Labour                58  1   4   3   2   2   4   11  0
1050    Labour                78  0   4   4   4   2   3   11  0
1051    Labour                52  0   3   4   2   1   4    6  0
1052    "Liberal Democrat"    34  0   3   2   2   2   2    9  0
1053    Labour                69  1   4   3   5   2   2    3  0
1054    Conservative          69  1   4   4   1   5   1   11  1
1055    Labour                54  1   5   4   4   2   5    6  2
1056    Labour                79  1   4   3   5   1   2    3  0
1057    Labour                30  0   5   5   4   5   5    9  0
1058    Labour                52  1   3   3   4   1   4   11  1
1059    Labour                37  0   3   4   4   2   2    8  0
1060    Conservative          49  1   3   3   4   4   4   11  2
1061    Labour                31  0   5   4   4   4   4    6  0
1062    Labour                32  1   2   2   4   4   5    5  3
1063    Labour                37  1   4   4   2   2   3   10  0
1064    Labour                39  0   4   4   4   2   4    2  2
1065    Labour                74  0   4   4   5   2   3   11  0
1066    "Liberal Democrat"    89  1   3   5   4   2   2    1  0
1067    "Liberal Democrat"    66  1   3   3   2   4   4    6  2
1068    "Liberal Democrat"    83  1   4   5   5   2   4    3  2
1069    "Liberal Democrat"    45  1   2   3   4   2   1    6  2
