age	nonint	mwork	meduc	income	nsibs	fundprot	tradrole
1525	18.416666667	yes	yes	11	8198	2	yes	D
1531	16.75	no	no	13	9186	3	yes	D
1532	14.916666667	no	no	12	9186	3	yes	SD
1539	20.666666667	no	yes	12	1250	3	no	SD
1541	18.166666667	no	yes	12	8768	4	no	D
1544	17.666666667	yes	no	11	6577	3	yes	D
1546	18.833333333	no	yes	10	400	3	yes	D
1548	17.75	yes	yes	10	2986	1	no	D
1549	18.416666667	yes	no	11	7354	6	no	D
1550	19.833333333	no	yes	12	13279	3	no	SD
1551	20.833333333	no	no	9	14005	1	yes	D
1552	22	yes	yes	10	13279	3	no	D
1553	19.333333333	yes	yes	12	12736	4	no	SD
1558	15.583333333	no	yes	12	11180	3	no	D
1559	19.416666667	no	yes	11	364	3	no	D
1562	21.333333333	no	yes	12	1500	1	no	A
1564	18.833333333	no	no	13	20000	2	no	D
1566	18.583333333	yes	yes	15	14083	2	no	SD
1568	18	no	yes	12	14000	4	no	SD
1571	16.333333333	yes	yes	12	11180	4	no	SD
1579	17.25	yes	yes	12	16000	1	no	D
1581	16.833333333	yes	no	12	4041	3	no	D
1583	21.083333333	no	yes	12	4356	3	no	SD
1584	15.25	yes	yes	12	2973	1	no	D
1586	15.083333333	no	yes	16	15000	1	no	SD
1587	18.583333333	no	yes	16	17321	1	no	SD
1589	17.25	no	yes	12	6577	3	no	SD
1592	14.416666667	no	yes	11	5715	3	no	D
1593	19.833333333	no	yes	12	15977	2	no	D
1596	19	yes	no	8	1888	7	no	A
1598	14.75	no	yes	10	7500	1	no	A
1599	21.666666667	yes	yes	11	8458	1	no	SD
1600	21.833333333	yes	no	8	3138	6	no	D
1605	19.916666667	no	no	13	8900	5	no	D
1606	20.333333333	yes	yes	12	5759	1	yes	D
1607	21.416666667	no	no	11	5373	2	yes	SD
1608	20.75	no	yes	10	4662	2	yes	D
1609	21.916666667	yes	no	5	5543	4	yes	D
1610	20.166666667	no	yes	10	3995	3	yes	D
1615	20.25	no	yes	12	4472	3	no	D
1616	21.166666667	no	yes	16	8660	4	no	D
1617	19.25	yes	yes	12	11547	1	no	SD
1621	16	no	no	17	25000	1	no	D
1623	19.5	no	no	16	25000	1	no	D
1624	16.916666667	no	yes	16	7354	4	no	SD
1625	15.666666667	no	yes	16	7354	4	no	D
1629	17.416666667	no	yes	12	8400	3	no	SD
1633	14.416666667	no	yes	12	9390	3	no	D
1634	18.333333333	no	no	12	7921	6	no	SD
1638	19.25	no	no	20	11667	4	no	A
1639	16.666666667	no	no	18	28868	4	no	D
1640	21.833333333	yes	no	7	6085	6	yes	D
1647	18.416666667	yes	no	6	3580	5	no	D
1648	17.25	yes	no	9	3100	6	no	D
1652	17.083333333	no	no	12	8491	3	no	SD
1655	21.666666667	no	no	12	8491	4	no	SD
1656	20.666666667	no	no	12	22678	6	yes	D
1657	18.5	no	no	12	22678	6	no	SD
1658	16.583333333	no	yes	12	22678	6	no	SD
1661	16.166666667	yes	yes	12	5559	7	no	D
1662	16.583333333	no	yes	12	5559	7	no	D
1671	19.75	no	no	12	13880	3	no	SD
1674	15.333333333	yes	yes	12	12000	4	yes	D
1675	18.916666667	no	no	13	5559	5	no	SD
1676	17.416666667	no	no	13	5559	5	no	D
1680	17.333333333	yes	yes	16	10399	0	no	SD
1683	21.25	no	no	12	8491	3	no	SD
1707	18.666666667	no	yes	16	10399	4	no	SD
1711	18.166666667	no	yes	16	8944	2	no	SD
1712	21.083333333	no	yes	16	8944	2	no	D
1725	16.916666667	yes	no	9	10607	4	no	D
1726	16.333333333	no	yes	12	4243	10	no	SD
1727	14.75	no	yes	12	4243	10	no	A
1730	21.25	yes	yes	12	9899	4	no	SD
1732	18.75	no	no	17	7000	4	no	SD
1733	17.333333333	yes	no	17	7000	4	no	D
1734	16.333333333	yes	no	17	7354	4	no	SD
1735	19.583333333	no	yes	16	8944	4	no	D
1736	15.916666667	no	yes	16	8944	4	no	SD
1738	20.5	no	no	12	4243	1	no	SD
1740	21	no	no	12	17889	3	no	D
1745	15	no	no	16	16994	2	no	SD
1747	20.666666667	no	no	20	1124	1	no	D
1766	20.083333333	no	yes	14	4022	2	no	SA
1768	16.583333333	no	no	10	10000	1	no	D
1769	15.166666667	no	no	10	10000	1	no	D
1770	15.5	yes	no	12	7757	13	yes	SD
1776	18	no	yes	14	6000	3	no	D
1778	18.916666667	no	yes	12	8706	3	no	SD
1785	17.166666667	yes	no	8	2268	4	yes	A
1786	15.416666667	yes	yes	8	2268	4	yes	A
1787	16.333333333	no	yes	12	7071	3	no	SD
1789	15.416666667	no	no	14	7379	2	yes	D
1793	15.5	no	yes	12	6577	2	no	SD
1794	16.666666667	no	no	12	12840	2	yes	A
1795	21.916666667	no	no	12	10796	1	no	SA
1797	15.833333333	yes	no	12	0	1	no	D
1798	16.083333333	no	no	13	9481	2	no	SD
1799	15.083333333	yes	yes	13	9883	2	yes	SD
1800	19.333333333	no	no	12	20207	3	no	D
1801	19.75	no	no	12	14707	5	no	SD
1803	17.166666667	no	no	12	12702	2	no	D
1804	19.166666667	no	no	13	20000	1	no	SD
1808	20.75	no	yes	12	3840	2	no	SD
1826	18.166666667	no	no	12	3233	5	no	SD
1828	15.5	yes	no	8	2645	3	yes	D
1841	18	no	yes	12	12500	3	no	SD
1842	17.25	no	yes	16	7354	2	yes	D
1844	21.666666667	no	no	15	7969	1	no	SA
1849	14.5	yes	no	11	10399	1	no	SD
1852	16.083333333	no	no	16	8491	4	no	D
1853	18.083333333	no	yes	12	7354	1	no	D
1856	16.666666667	yes	yes	12	4950	1	yes	D
1858	19.5	no	yes	14	22500	5	no	D
1860	15.5	no	no	12	7343	5	no	A
1861	19.416666667	no	yes	12	8491	0	no	SD
1862	20.083333333	no	no	11	3536	9	no	SD
1863	19.916666667	no	no	12	8848	6	no	D
1865	18.583333333	yes	no	11	3700	2	no	A
1866	18.5	no	no	10	9500	1	no	D
1868	21.416666667	no	no	12	10206	4	no	D
1870	18.25	no	no	9	5120	2	no	SD
1871	20.5	yes	yes	11	10000	1	no	D
1876	21.5	yes	yes	8	7354	1	no	D
1878	20.333333333	no	yes	12	10121	4	no	D
1879	15.833333333	no	no	12	10286	4	no	SD
1880	19.416666667	no	yes	12	12075	2	no	D
1883	15.166666667	no	no	12	6708	2	no	SD
1885	19.416666667	no	yes	12	17889	2	no	SD
1886	20.583333333	no	no	12	11628	2	no	SD
1888	17.583333333	yes	no	8	3536	3	no	SD
1892	14.833333333	yes	yes	12	4583	2	no	D
1893	18.75	no	yes	12	7506	0	no	D
1896	18.166666667	no	no	12	16166	1	no	D
1898	21	no	yes	12	8083	4	no	SD
1900	21.5	no	yes	12	24495	4	no	D
1902	14.833333333	no	yes	12	24495	4	no	D
1904	17.75	no	yes	11	11538	2	no	SD
1905	14.916666667	no	yes	11	11538	2	no	D
1906	18.75	no	yes	17	20207	1	no	SD
1907	21.166666667	yes	yes	8	6364	2	no	D
1912	17.833333333	yes	no	10	12500	6	no	SD
1913	14.75	yes	yes	10	12500	6	yes	SD
1915	19.833333333	no	yes	16	6577	2	no	SD
1921	20.25	no	no	8	7354	4	no	D
1922	17.333333333	no	no	12	12500	3	no	D
1923	14.666666667	no	yes	12	12500	3	no	D
1926	21	no	yes	12	6047	3	no	D
1927	17.333333333	no	no	12	6047	3	no	D
1929	21.583333333	no	yes	12	10000	1	no	D
1932	15.25	yes	yes	10	13229	4	no	D
1933	18.083333333	no	yes	12	7354	2	no	D
1934	16.333333333	no	yes	11	7354	2	no	D
1935	21.083333333	no	no	12	5559	4	no	D
1936	20.083333333	no	no	12	5559	4	no	A
1937	18.666666667	no	no	12	5559	4	no	D
1938	16.833333333	no	no	12	5559	4	no	D
1939	18.083333333	no	no	12	8491	0	no	SD
1940	21.5	no	yes	6	10399	0	yes	D
1942	18.5	yes	yes	12	10399	4	no	D
1943	16.916666667	no	no	9	6000	2	yes	SD
1947	17.916666667	no	no	10	6500	1	yes	D
1948	15.166666667	no	yes	11	7181	2	no	D
1949	21.75	no	yes	12	5774	1	no	SD
1951	18	no	no	12	11500	2	no	SD
1953	14.916666667	no	yes	18	15877	0	no	SD
1954	17.75	no	no	16	15205	2	no	D
1960	15.416666667	no	no	8	6261	4	no	D
1962	20.166666667	yes	yes	12	10833	3	no	D
1965	18.166666667	yes	yes	12	3536	5	no	D
1967	16.25	no	yes	17	7500	3	no	D
1968	15.833333333	yes	yes	12	11339	4	no	D
1969	14.416666667	yes	yes	12	11339	4	yes	D
1973	15.5	no	no	12	8000	2	no	SD
1974	17.833333333	yes	yes	12	9500	1	no	D
1976	16.75	no	no	9	10970	6	no	SD
1980	19.75	no	no	9	8671	3	no	SD
1982	19	no	yes	12	8944	3	no	SD
1983	21.416666667	no	yes	12	21249	2	no	SD
1985	16.916666667	yes	yes	12	12124	1	no	D
1986	15.666666667	yes	no	12	17500	3	no	SD
1990	21.583333333	no	no	12	15938	5	no	D
1993	20.416666667	no	yes	12	8491	4	no	SD
1994	20.166666667	no	no	12	7021	1	no	SD
1995	17.916666667	no	yes	12	14434	3	no	SD
1997	17.5	no	yes	12	9391	2	no	D
1999	15.166666667	no	no	16	8500	1	no	SD
2002	17.583333333	yes	no	12	914	6	no	SD
2003	18.083333333	yes	no	12	10000	6	yes	D
2004	18.333333333	no	no	12	22361	2	no	SD
2008	17.583333333	no	no	12	11180	2	no	SD
2009	14.416666667	no	yes	12	11180	2	no	SD
2011	18.833333333	no	yes	12	20000	2	no	SD
2012	18.666666667	no	yes	12	11431	3	no	SD
2013	19.25	no	no	12	14758	2	no	A
2016	17.583333333	no	yes	14	5559	4	no	SD
2017	15.666666667	no	yes	12	5559	4	no	SD
2021	21	no	yes	12	8491	5	no	SD
2027	20.25	yes	no	10	6958	7	no	SD
2030	21.416666667	no	no	10	5288	4	no	SD
2035	16	no	no	11	8050	3	no	D
2036	20.75	no	yes	17	6638	4	no	SD
2037	17	yes	yes	17	2990	7	no	SD
2042	17.166666667	no	no	16	17321	2	no	SD
2046	14.166666667	yes	no	13	2256	4	no	A
2049	16.833333333	yes	yes	12	4568	5	no	D
2050	19.416666667	yes	no	12	6577	11	no	D
2052	20.166666667	no	no	12	6004	5	no	D
2053	19.666666667	no	yes	16	14707	2	no	A
2054	20.25	no	no	3	8491	10	yes	A
2057	16.083333333	no	yes	12	6708	2	no	D
2061	17.333333333	no	yes	11	11180	2	no	SD
2062	16.083333333	no	yes	11	11180	2	no	A
2063	16.833333333	yes	yes	12	8944	3	no	D
2064	21.333333333	no	yes	16	4000	5	no	SD
2066	16.083333333	no	yes	10	6736	6	yes	A
2068	17.916666667	no	yes	15	10206	3	no	D
2070	19	no	yes	12	12247	3	no	D
2071	16.916666667	no	yes	12	12247	3	no	D
2072	15.166666667	no	yes	12	12247	3	no	SD
2073	19.416666667	no	yes	12	10000	5	no	D
2074	17.25	no	yes	12	10000	5	no	D
2076	22	no	no	10	12869	8	yes	D
2077	21.833333333	no	no	8	6004	3	no	D
2079	20.083333333	no	yes	12	10500	1	no	D
2082	15.25	no	yes	11	4914	8	no	D
2083	21.583333333	yes	no	12	14142	1	no	A
2084	21.583333333	no	no	8	3000	5	no	D
2088	17.25	no	no	12	8485	6	no	D
2094	20.666666667	no	yes	10	512	5	no	SD
2098	17.833333333	no	yes	12	6940	4	no	D
2099	16.416666667	no	yes	12	6940	4	no	SD
2102	21.25	no	no	12	7350	2	no	D
2103	22	no	no	10	14707	8	no	D
2104	22	no	yes	12	14142	1	no	SD
2105	20.666666667	no	no	8	8491	7	yes	D
2112	21	no	no	12	7354	5	no	D
2114	15.166666667	no	no	12	6708	2	yes	D
2115	20.083333333	no	no	12	5559	4	no	SD
2119	20.916666667	yes	yes	12	3965	9	no	SD
2120	15.166666667	no	yes	12	8050	2	yes	SD
2121	21.083333333	yes	yes	10	10810	5	no	D
2123	17.5	no	no	12	12247	3	no	SD
2124	14.333333333	no	no	12	12247	3	no	D
2125	17.166666667	no	no	12	8491	3	yes	SD
2126	18.5	no	yes	12	2012	4	no	SD
2128	15.75	yes	yes	12	2012	4	no	SA
2129	18.083333333	yes	no	10	2828	3	no	SD
2130	17.583333333	yes	no	8	5559	3	no	D
2131	21.333333333	yes	yes	8	9000	3	no	D
2132	15.416666667	no	yes	11	11547	1	no	D
2133	17.25	no	no	12	9696	3	yes	SD
2136	20.166666667	no	no	12	3536	5	no	D
2137	18.5	no	yes	12	3536	5	yes	D
2139	20.083333333	no	no	12	4000	3	no	A
2140	15.166666667	no	yes	12	8165	3	no	SA
2142	18.916666667	no	yes	12	8491	2	no	D
2146	19.5	no	no	11	7506	0	no	D
2148	17	no	yes	18	13000	1	no	SD
2150	16.333333333	no	no	12	6004	4	no	D
2152	19.25	no	yes	8	6425	6	no	D
2153	16.75	no	yes	8	6425	6	no	SD
2154	19.083333333	no	yes	12	6718	0	no	SD
2155	18.166666667	no	yes	16	11628	2	yes	SD
2156	14.583333333	no	yes	16	11628	2	yes	D
2158	21.75	no	no	12	8718	3	no	SD
2161	19.75	no	yes	10	8491	3	yes	SD
2162	15.833333333	no	yes	13	7757	3	no	SD
2165	18.833333333	no	yes	12	7500	1	no	SD
2167	16.666666667	no	no	12	13500	3	no	SD
2174	16.333333333	no	no	3	2902	6	yes	D
2175	20.833333333	no	no	11	10399	1	yes	D
2176	17.25	no	yes	12	7354	2	yes	SD
2179	14.583333333	no	no	7	1444	7	yes	A
2181	15.5	no	yes	6	4740	3	no	SD
2186	19.666666667	no	yes	18	7354	1	no	SD
2190	19	no	yes	11	8500	3	no	SD
2193	18.333333333	no	yes	9	4845	3	no	D
2196	21.833333333	yes	no	7	6363	5	yes	D
2199	19.75	no	no	12	10399	3	no	D
2200	15	no	yes	12	24249	1	no	SD
2201	18.75	no	yes	12	5000	1	no	SD
2203	17.25	no	yes	12	12500	2	no	SD
2204	17.416666667	no	yes	7	5000	3	no	D
2205	17.5	no	yes	12	7500	3	yes	D
2206	16.333333333	yes	no	2	7354	4	yes	SA
2215	18.166666667	no	yes	11	8491	0	yes	D
2217	20.5	no	no	12	7044	1	yes	A
2221	22	yes	yes	12	7511	7	no	SD
2224	14.416666667	yes	yes	12	5657	1	yes	A
2228	18.416666667	no	no	13	22361	3	no	SA
2229	17.416666667	yes	yes	12	5500	2	no	D
2230	14.416666667	yes	yes	12	5500	2	no	D
2232	14.5	no	no	10	8491	1	yes	D
2234	17.75	no	yes	13	7354	1	no	SD
2235	18.75	no	no	16	6577	2	no	SD
2237	18.166666667	no	no	12	15652	2	no	A
2240	17.583333333	yes	yes	12	15760	11	yes	D
2242	21.416666667	no	no	12	6004	3	no	SD
2243	17.583333333	no	no	12	10206	4	no	SD
2244	17.583333333	no	no	11	10508	1	no	D
2245	18.25	yes	yes	14	8491	2	yes	D
2246	19.25	no	yes	16	10399	2	no	D
2247	19.416666667	no	no	12	7800	4	yes	D
2249	14.916666667	no	no	4	1789	2	yes	SD
2274	15.833333333	yes	yes	8	4503	5	yes	D
2275	14.25	no	yes	12	7354	1	no	D
2278	19.25	no	no	12	20207	1	yes	D
2280	18.833333333	no	no	9	9593	5	yes	SD
2281	21.333333333	no	yes	12	7333	1	no	D
2282	17.916666667	no	no	11	5196	1	yes	D
2283	21.583333333	yes	yes	11	8491	1	no	A
2284	18.083333333	yes	no	12	4950	0	yes	D
2285	21.583333333	no	yes	12	2700	2	yes	SD
2286	14.25	no	yes	16	17889	2	no	D
2287	17.583333333	no	no	12	6577	2	yes	A
2288	14.583333333	no	no	12	6577	2	yes	SD
2289	18.833333333	no	yes	11	7354	2	no	SD
2290	15.666666667	no	yes	18	20000	1	no	D
2292	14.833333333	no	yes	14	19630	4	yes	D
2294	15.333333333	no	no	12	8491	2	no	SD
2295	20.5	yes	no	12	8491	5	no	SD
2296	15.25	yes	no	12	6004	3	no	A
2297	22	yes	yes	8	35355	2	yes	A
2298	18.916666667	yes	yes	16	7071	5	no	D
2299	21.666666667	no	yes	16	8981	5	no	D
2301	19	no	yes	16	8981	5	no	D
2308	15.333333333	yes	yes	12	4780	3	no	D
2311	21.166666667	no	yes	6	3111	7	yes	D
2313	18.083333333	no	yes	12	7000	5	no	SD
2315	20.166666667	no	no	14	8491	3	no	SD
2317	17.5	yes	no	14	7283	7	no	SD
2319	18	yes	yes	9	8491	3	yes	A
2321	16.25	no	no	12	9580	2	no	D
2322	17.75	no	yes	12	9839	2	no	SD
2324	17.166666667	no	yes	16	12250	1	yes	D
2328	22	no	no	10	7500	3	no	SD
2333	22	yes	no	12	3266	3	yes	D
2337	16.333333333	yes	no	12	11547	2	no	SD
2339	19.333333333	no	yes	16	9850	1	yes	D
2340	19.166666667	no	yes	9	7835	1	yes	A
2342	16.916666667	no	yes	12	12075	3	yes	D
2346	21.75	no	no	14	6700	1	no	D
2368	21.583333333	no	no	12	12021	5	yes	D
2369	21.666666667	yes	yes	12	6577	4	yes	SD
2370	20.666666667	yes	no	12	4472	4	yes	SD
2373	20.333333333	yes	no	18	327	2	no	SD
2374	20.5	yes	no	16	8491	5	no	D
2375	18.333333333	no	yes	12	3536	3	no	SD
2390	17.75	no	yes	12	14434	1	no	SD
2394	20.75	no	no	12	4950	4	yes	D
2398	19.333333333	yes	yes	12	13809	2	yes	SD
2399	17.5	yes	no	10	5814	3	no	SD
2400	16.416666667	yes	no	10	5814	3	no	D
2402	20	no	no	11	8491	2	no	D
2404	18.75	yes	yes	12	2142	2	no	SD
2405	19.166666667	no	yes	10	3789	5	yes	SD
2407	20.75	no	yes	10	5445	2	yes	SD
2408	18.583333333	no	no	10	14707	2	no	D
2409	17	no	no	11	7800	2	no	SD
2410	18	yes	yes	12	10197	1	yes	SD
2411	16.583333333	yes	yes	12	13500	6	no	SD
2412	15.25	yes	yes	10	13500	6	no	D
2414	16.5	no	yes	13	15799	5	yes	A
2416	22	yes	yes	12	1700	3	no	SD
2418	19.083333333	no	yes	12	3000	2	no	D
2420	14.5	no	yes	13	4025	2	yes	D
2424	15.916666667	no	no	12	6577	5	no	D
2426	16	no	no	12	9391	3	no	A
2430	20.833333333	no	no	9	3820	5	yes	SD
2433	15.416666667	no	yes	15	6577	2	no	D
2434	20.666666667	no	yes	12	8660	6	no	D
2435	16.083333333	no	no	12	11500	2	yes	SD
2436	19.583333333	yes	no	12	12667	6	no	D
2437	18.166666667	yes	no	12	12667	6	no	D
2441	15.666666667	yes	no	12	6928	1	yes	A
2442	20.416666667	yes	yes	13	6928	0	yes	SD
2444	14.5	no	yes	11	8497	2	no	SD
2447	20.166666667	no	no	12	4156	3	no	D
2448	18.083333333	no	no	12	7354	2	no	A
2450	19.5	no	yes	12	5314	5	no	D
2452	18.5	yes	yes	10	7778	3	yes	A
2453	14.75	no	no	12	8944	2	no	D
2454	14.583333333	no	yes	12	10500	1	no	D
2457	18.166666667	yes	no	10	16971	4	yes	SD
2458	20.666666667	no	yes	12	8491	2	no	A
2459	17.916666667	no	no	12	6326	3	yes	A
2461	17	no	no	12	10000	1	yes	SD
2462	20	no	yes	8	8660	2	no	SA
2469	18.083333333	yes	no	12	10399	3	no	D
2471	14.166666667	yes	yes	12	7000	1	no	A
2473	14.583333333	no	no	12	6524	3	no	SD
2474	20.5	no	no	10	8753	5	no	SA
2478	18.75	no	no	11	9391	2	no	D
2480	14.833333333	no	yes	11	9391	2	no	SD
2482	18.25	yes	yes	11	7354	3	no	D
2483	21.833333333	no	no	10	8083	1	no	D
2484	15.5	no	yes	11	4800	1	no	D
2485	14.5	no	yes	11	4800	1	no	D
2488	21.583333333	no	no	8	7354	7	no	A
2492	15	no	yes	11	6577	1	no	D
2496	21.833333333	yes	no	12	8491	1	no	SD
2499	18.75	no	yes	10	14707	3	no	SD
2500	15.416666667	no	yes	10	6577	3	no	SD
2501	21.833333333	no	yes	12	14707	1	no	D
2503	14.416666667	no	no	16	6577	2	no	D
2505	21.5	yes	no	9	5196	7	no	D
2507	20.333333333	no	yes	12	8491	2	no	SD
2510	15.166666667	no	yes	14	6004	3	no	SD
2511	17.833333333	no	yes	12	5367	2	no	D
2512	15.916666667	no	yes	12	6577	2	no	D
2514	19.166666667	no	no	13	6577	4	no	SD
2515	16.666666667	no	yes	12	7354	4	no	SD
2519	18.75	no	yes	12	10399	4	no	D
2521	16	no	yes	12	7354	4	no	SD
2523	19.666666667	no	yes	12	5545	4	no	D
2525	19.333333333	yes	yes	12	6730	5	yes	D
2528	17.416666667	no	no	9	6940	2	no	D
2529	16.5	no	no	9	6940	2	no	A
2530	14.583333333	no	no	9	6981	2	no	D
2531	19.333333333	no	no	12	10399	2	no	D
2533	15.75	no	yes	12	9150	2	no	A
2536	18.25	no	yes	16	6061	3	yes	D
2538	18.916666667	no	yes	12	19963	3	no	D
2542	16.75	no	yes	12	6750	2	yes	D
2543	20.833333333	no	no	12	8491	2	yes	D
2544	19.25	no	yes	12	10000	2	yes	D
2549	20	no	yes	12	8981	3	yes	D
2551	17.416666667	no	yes	12	8165	3	yes	SD
2552	15.583333333	no	yes	12	8165	3	yes	D
2554	15.25	no	no	12	5124	5	no	D
2556	18.25	no	yes	12	11180	2	yes	D
2559	14.5	yes	yes	12	2665	1	yes	SD
2560	17.5	no	no	16	6261	2	no	D
2564	18.583333333	no	yes	12	8944	2	no	SA
2565	21.166666667	no	no	12	11180	2	no	D
2566	18.666666667	yes	yes	12	3889	1	no	SD
2567	16.916666667	no	no	12	43302	2	no	SD
2569	19.833333333	no	no	14	6423	3	no	A
2570	16.583333333	no	yes	12	10619	1	no	D
2573	20.666666667	no	no	12	15353	2	no	D
2575	21.416666667	yes	no	7	1789	2	yes	A
2577	17.666666667	no	no	12	8491	3	yes	A
2580	18.083333333	no	no	9	7354	1	no	D
2585	19.75	no	no	10	3500	3	no	D
2588	18	no	yes	14	4000	1	no	SD
2590	18	no	no	12	13880	3	yes	A
2591	16.416666667	no	no	12	13880	3	yes	SA
2592	15.5	no	no	12	13880	3	yes	A
2596	18.833333333	no	no	10	8491	4	yes	A
2599	21.75	no	no	12	6532	4	yes	D
2600	16.583333333	no	no	12	6532	4	yes	D
2603	16.916666667	no	yes	12	7155	2	yes	D
2605	18.5	yes	no	12	14707	2	no	D
2606	18.833333333	no	no	12	3464	2	yes	SA
2607	18.833333333	no	no	12	8660	0	no	SD
2608	15.5	no	no	12	5367	2	no	D
2615	14.416666667	yes	no	9	6124	3	no	D
2622	15.333333333	no	yes	12	16330	2	yes	SD
2623	19	no	yes	10	14707	5	yes	A
2624	19.833333333	no	no	16	8491	2	no	SD
2626	17.583333333	no	yes	12	5196	3	no	D
2627	14.833333333	no	no	8	8491	3	no	D
2628	21.416666667	no	no	12	19163	7	no	D
2629	17.416666667	yes	yes	12	15528	8	no	D
2635	21.583333333	no	yes	12	10399	2	no	A
2636	19.75	yes	no	12	6000	2	no	D
2638	15.75	no	no	12	6000	1	no	SD
2640	19.166666667	yes	no	12	6052	6	yes	SA
2680	18	yes	yes	12	8491	1	no	SD
2689	19.75	no	no	12	6642	3	yes	D
2722	17	no	no	7	7354	3	no	D
2723	17.333333333	no	yes	14	9238	1	no	SD
2727	15.833333333	no	yes	7	5250	3	no	D
2729	18.666666667	no	yes	11	4907	2	yes	D
2730	19.333333333	no	yes	8	7481	5	yes	D
2731	16.666666667	no	no	12	8491	2	yes	A
2736	15.333333333	no	no	11	4157	1	yes	D
2737	18	no	yes	11	7354	1	yes	D
2738	18.666666667	no	no	11	6004	3	no	D
2739	16.5	no	no	11	6577	3	no	SD
2740	14.666666667	no	no	11	6004	3	no	SD
2742	21.833333333	no	yes	13	8429	1	yes	SD
2744	21.333333333	no	no	12	16000	2	yes	SD
2746	18.916666667	no	yes	10	8203	1	yes	D
2748	21.75	no	yes	7	9192	2	yes	D
2752	22	no	yes	12	7354	2	yes	A
2753	21	no	yes	12	10399	3	yes	D
2757	21	yes	no	6	1185	5	yes	SD
2758	14.416666667	yes	yes	10	7354	2	yes	D
2775	18.5	no	no	5	8839	5	yes	SD
2778	18.333333333	yes	yes	12	5658	4	yes	D
2781	19.666666667	no	no	8	1131	4	yes	D
2785	18.666666667	no	no	12	10399	2	yes	D
2788	15.083333333	no	no	12	6577	2	no	A
2806	15.333333333	no	no	12	6577	2	yes	D
2808	14.583333333	yes	no	10	7354	1	yes	D
2809	18.416666667	no	yes	9	8981	3	no	A
2810	16.583333333	no	yes	9	8981	3	no	D
2814	17.333333333	no	yes	12	5559	4	yes	D
2817	15.166666667	yes	yes	7	3464	1	yes	A
2818	14.5	no	yes	6	8491	12	yes	D
2819	20.333333333	no	no	12	13568	2	yes	A
2823	18	no	yes	10	6124	3	no	SD
2824	15.083333333	no	yes	11	6124	3	no	D
2825	15.083333333	no	yes	11	6124	3	no	D
2826	19.166666667	no	no	9	7800	1	no	D
2828	17.916666667	no	yes	1	14707	3	no	A
2829	15.666666667	no	yes	1	3657	3	no	A
2831	18.25	yes	yes	9	5774	2	no	SD
2834	20.5	no	yes	7	6351	3	no	A
2835	20.083333333	yes	yes	8	8012	4	no	D
2840	15.5	no	yes	12	10286	2	no	A
2841	20.666666667	no	no	12	20207	2	no	D
2843	15.166666667	no	yes	16	9500	1	no	SD
2846	14.5	yes	yes	17	5367	3	no	SD
2847	14.5	yes	yes	17	5367	3	no	SD
2848	19.666666667	no	yes	18	15000	1	no	SD
2849	17.666666667	no	yes	19	16438	1	no	SD
2850	16.25	no	yes	16	20125	2	no	SD
2855	15	no	yes	11	7354	1	no	SD
2856	19.166666667	no	yes	12	22678	6	no	D
2862	15.583333333	yes	yes	12	3464	1	no	SD
2863	14.5	yes	yes	12	3464	1	no	SD
2864	21.166666667	no	no	10	4899	5	no	D
2865	18.416666667	no	no	10	4899	5	no	D
2867	15.833333333	no	no	10	4899	5	no	D
2869	18.75	no	no	12	12247	5	no	D
2872	18.583333333	no	no	12	6004	3	no	SD
2877	20.166666667	no	no	12	11154	4	no	SD
2879	21.333333333	no	no	12	6577	2	no	D
2880	19.583333333	no	no	12	6577	2	no	SD
2883	18.916666667	no	no	10	7354	2	no	SD
2885	20.583333333	yes	no	12	4020	2	no	SD
2887	20.916666667	no	yes	15	6577	2	no	SD
2889	15.666666667	no	yes	12	6577	2	no	SD
2892	14.333333333	no	no	16	7354	2	no	D
2894	16.583333333	no	yes	16	20412	3	no	SD
2897	16.583333333	no	no	16	7354	2	no	SD
2899	16.25	no	yes	16	23094	2	no	SD
2900	18.416666667	no	no	16	37501	1	no	D
2901	22	no	no	16	37501	2	no	SD
2902	20.416666667	no	no	16	26833	2	no	SD
2908	20.916666667	no	no	16	21637	3	no	SD
2909	18.5	no	no	16	6004	3	no	SD
2910	14.666666667	no	no	14	33541	2	no	D
2918	20.666666667	no	no	10	5200	6	no	D
2919	18.916666667	no	no	10	4902	6	no	A
2926	20.583333333	yes	yes	17	15000	3	no	SD
2928	15.583333333	yes	yes	12	6500	3	no	D
2929	21	no	yes	12	6928	3	no	SD
2930	19.083333333	yes	yes	12	7217	1	no	SD
2934	16.916666667	no	yes	7	6004	3	no	A
2935	19.666666667	no	no	12	7354	2	no	D
2936	19.833333333	no	yes	15	19630	2	no	D
2938	17.333333333	no	no	12	6577	2	no	D
2940	19.25	no	yes	16	30000	2	no	SD
2943	14.75	no	yes	12	15652	2	no	SD
2946	15	no	no	12	13064	3	no	D
2947	19.5	no	no	12	13064	4	no	SD
2948	21.916666667	no	yes	15	13799	5	no	D
2949	20.416666667	no	yes	15	13799	5	no	D
2952	16.25	no	yes	12	5000	4	no	SD
2955	18.666666667	no	yes	15	6004	3	yes	D
2959	16	no	yes	14	15652	2	no	SD
2961	20.583333333	no	yes	12	11339	5	no	SD
2964	18.25	no	yes	12	7354	1	no	SD
2978	20.166666667	no	yes	10	10253	4	no	D
2979	16.333333333	no	yes	12	8165	3	no	SD
