age	region	kids04	kids59	hoursWorked	education	familyIncome
1460	35	Prairies	No	No	1782	12	43996
1461	33	Prairies	No	No	2398	11.5	9973
1462	54	Prairies	No	No	2086	12	58272
1463	40	Prairies	Yes	Yes	0	12.5	42716
1464	55	Prairies	No	No	1955	13	10985
1466	53	Quebec	No	No	1043	18	48793
1467	32	Ontario	Yes	Yes	2086	14	29496
1468	42	Ontario	No	No	2078	11	67539
1469	40	Ontario	No	Yes	3390	10	23553
1470	27	Atlantic	No	Yes	0	9	0
1471	49	Prairies	No	No	0	12	5296
1472	24	Ontario	No	No	1929	14	21514
1473	30	Ontario	Yes	No	1043	14	5694
1474	50	BC	No	No	730	12	24068
1475	30	Quebec	Yes	Yes	694	14	28577
1476	54	Atlantic	No	No	0	14	27396
1477	35	Atlantic	No	Yes	1434	12	29437
1478	43	Prairies	No	No	1564	12	29217
1480	35	BC	Yes	Yes	0	14	52850
1481	62	Prairies	No	No	0	8	18459
1482	32	Prairies	No	Yes	5162	14	36178
1483	49	Prairies	No	No	0	12	50522
1484	45	Quebec	No	No	0	13	25232
1485	33	Atlantic	Yes	No	0	12	14059
1486	39	Prairies	Yes	Yes	0	10	13200
1487	31	Atlantic	Yes	No	1502	17	33055
1488	37	Atlantic	No	Yes	0	12	37290
1489	54	Ontario	No	No	1564	9	11847
1490	48	Prairies	No	No	1436	12.5	49501
1491	45	Quebec	No	No	2086	14	32261
1492	59	Prairies	No	No	0	17	66690
1493	49	BC	No	No	0	12	26342
1494	27	Prairies	No	No	1147	14	18178
1495	51	Quebec	No	No	0	7	36663
1496	34	Quebec	Yes	Yes	0	6	12154
1497	39	Prairies	No	No	1877	12.6	42899
1498	39	Ontario	No	No	2086	9	41795
1499	63	Ontario	No	No	0	8	12478
1500	48	Ontario	No	No	0	10	48871
1501	35	Quebec	No	Yes	0	12.5	24562
1502	60	Prairies	No	No	0	10	44326
1503	31	BC	Yes	Yes	0	11	12490
1504	32	Prairies	Yes	Yes	1877	17.5	26166
1505	58	Quebec	No	No	0	9	40864
1507	51	Atlantic	No	No	0	15	56315
1508	56	Ontario	No	No	1981	13	1915
1509	28	Prairies	No	No	1981	13	11881
1510	39	Ontario	No	No	2117	15	29546
1511	52	Ontario	No	No	0	11	41175
1512	31	Prairies	Yes	No	2086	16.6	13677
1513	50	Prairies	No	No	2086	12	61553
1514	26	Atlantic	Yes	No	1175	12	7214
1515	35	BC	Yes	Yes	94	12.5	48549
1516	52	Prairies	No	No	0	15	28445
1517	39	BC	No	Yes	1043	13.2	51306
1518	26	BC	Yes	Yes	2086	13	34896
1520	38	Ontario	Yes	Yes	1304	14	45032
1521	52	Prairies	No	No	1448	15	16255
1522	61	BC	No	No	1043	10.5	28325
1523	32	BC	No	No	2346	14	24152
1524	31	Quebec	Yes	No	530	15	33094
1525	39	Prairies	No	No	2086	14	45673
1526	49	Ontario	No	No	0	12.8	80268
1527	43	Prairies	No	No	217	13	34762
1528	60	Ontario	No	No	1912	9	16100
1529	55	Prairies	No	No	0	8	45807
1530	43	BC	No	No	1955	12.5	24617
1531	45	Prairies	No	No	0	5	41897
1532	36	Atlantic	No	No	1955	11.5	35192
1533	31	BC	No	Yes	1738	12	32743
1534	41	BC	No	No	1369	12	42095
1535	50	Atlantic	No	No	1564	11.5	20632
1537	62	Ontario	No	No	104	12	9152
1538	45	Atlantic	No	No	3128	20	41788
1539	48	Quebec	No	No	1356	18	0
1540	52	Prairies	No	No	1825	10	14869
1541	41	Prairies	No	No	912	14	38218
1544	48	Atlantic	No	No	670	11.5	48168
1545	50	Atlantic	No	No	2086	12.5	23135
1546	44	Ontario	No	No	1564	16	56403
1547	65	BC	No	No	0	11	22796
1548	41	Atlantic	No	No	434	15	25805
1550	40	Quebec	No	Yes	1792	18	115021
1551	46	BC	No	No	1825	15.3	48438
1552	31	Ontario	Yes	No	2086	12.5	32309
1553	27	Atlantic	Yes	No	521	16.5	51664
1554	30	Ontario	Yes	No	1133	12	21873
1555	36	Prairies	No	Yes	2086	14	33801
1556	33	Quebec	No	Yes	291	16	42201
1557	58	Quebec	No	No	0	6	32474
1558	51	Ontario	No	No	2086	17	66808
1559	43	Atlantic	No	No	1043	14	49820
1560	53	BC	No	No	0	15	37063
1561	53	Ontario	No	No	417	18	31947
1562	47	BC	No	No	522	18	18409
1563	37	BC	Yes	No	1776	11	46884
1564	32	Prairies	Yes	No	0	14	21541
1565	62	Quebec	No	No	0	17	17070
1566	40	Prairies	Yes	No	0	12	13835
1568	57	BC	No	Yes	1955	11	29680
1569	26	BC	No	No	1955	16.5	31746
1570	37	Prairies	No	No	1564	11	37148
1571	28	Ontario	Yes	No	1112	17	41983
1572	36	BC	No	No	2086	12	42403
1573	56	Quebec	No	No	2201	5	29646
1576	43	Atlantic	No	No	2868	14	40472
1577	46	Ontario	No	No	417	9	56367
1578	29	Ontario	No	No	1065	18	32956
1579	27	Prairies	Yes	No	568	14	10000
1580	32	Ontario	Yes	No	731	15	37902
1581	30	Ontario	Yes	No	238	13	32103
1582	36	Ontario	No	Yes	2086	12.5	60985
1583	35	Ontario	No	Yes	0	17	85742
1584	59	Prairies	No	No	0	11	32414
1585	42	BC	No	No	1669	10.5	21137
1586	49	BC	No	No	1929	16	40319
1587	35	Atlantic	No	No	0	12	38456
1588	39	Quebec	No	Yes	1823	15	22623
1589	65	Quebec	No	No	0	12	44279
1590	35	Quebec	No	No	0	12	18130
1591	58	Prairies	No	No	0	16	57635
1593	37	Atlantic	No	No	978	12.4	23556
1594	30	Quebec	Yes	No	1825	15.5	21426
1595	65	Quebec	No	No	0	7	15338
1596	48	Quebec	No	No	0	14	36796
1597	31	Ontario	Yes	Yes	0	12	28945
1598	28	Atlantic	Yes	Yes	2825	14	18194
1599	39	Atlantic	No	No	1043	11.5	39887
1600	53	Prairies	No	No	782	11	43833
1601	49	Quebec	No	No	0	9.5	41296
1602	34	Ontario	Yes	Yes	1564	13	24552
1603	65	Ontario	No	No	0	14.5	43357
1604	38	Ontario	Yes	No	695	12	33548
1605	55	Atlantic	No	No	0	8	27043
1606	44	Prairies	No	No	0	13.3	61997
1607	37	Atlantic	No	Yes	0	12	26808
1608	57	Quebec	No	No	0	12	18423
1609	41	Prairies	No	No	886	12	33486
1610	40	Quebec	No	No	2346	12	19064
1612	28	Quebec	Yes	No	2487	15	6667
1613	56	BC	No	No	1776	11	42737
1614	32	Ontario	Yes	Yes	1825	12	17579
1615	56	Atlantic	No	No	261	12.5	31546
1616	34	Ontario	No	Yes	0	12	37964
1617	50	Atlantic	No	No	132	8	11509
1619	42	Ontario	No	No	2086	13	38805
1623	34	Prairies	No	Yes	834	12	32707
1624	44	Prairies	No	No	0	9	17035
1625	55	Quebec	No	No	1564	10	21879
1626	60	Atlantic	No	No	0	12	35297
1627	40	Quebec	No	Yes	1647	12	24140
1628	39	Ontario	No	No	2086	12	33456
1629	38	Quebec	No	No	0	16.3	43547
1630	51	Atlantic	No	No	0	12	16090
1632	29	Ontario	No	No	1955	19	35393
1633	33	Atlantic	Yes	Yes	1385	13	59264
1634	44	Atlantic	No	No	2086	9	38135
1635	23	Prairies	Yes	No	2607	10	6740
1636	44	Prairies	No	No	489	17.5	49932
1638	24	Prairies	No	No	1981	11.5	34364
1639	62	BC	No	No	0	12	33849
1640	29	Atlantic	Yes	No	0	16	29437
1641	34	Atlantic	Yes	Yes	2086	15	223
1642	63	Atlantic	No	No	0	13	22650
1643	46	Atlantic	No	Yes	0	11	8127
1644	48	Quebec	No	No	1929	13	34484
1645	40	Atlantic	No	No	730	14	35284
1646	45	BC	No	No	0	16.5	72014
1647	31	Atlantic	Yes	No	1651	12.5	18296
1648	42	Quebec	No	No	1825	11	40479
1649	49	Atlantic	No	No	3911	10	41208
1650	58	BC	Yes	No	0	8	50231
1651	36	Atlantic	No	No	0	8.5	25875
1652	29	Quebec	Yes	No	1825	15.5	17614
1653	39	Prairies	No	No	1825	15.8	34769
1654	61	Quebec	No	No	0	9	10851
1656	33	Ontario	Yes	Yes	569	13.5	33244
1657	30	Ontario	Yes	Yes	1199	12	36783
1658	40	Atlantic	No	No	1564	11	24361
1659	21	Atlantic	No	No	2086	12	20732
1660	41	Prairies	No	No	0	7.7	23515
1661	39	Ontario	No	No	261	12	12622
1663	37	Quebec	No	No	787	9	17092
1664	50	Atlantic	No	No	665	9.5	17321
1665	38	Atlantic	No	Yes	376	12.5	13368
1666	37	Ontario	No	Yes	283	15.3	64283
1667	36	Ontario	No	No	2868	8	28905
1668	40	Quebec	No	No	0	13.4	18570
1669	38	Atlantic	Yes	No	0	14.5	27521
1670	34	Quebec	Yes	No	1825	11	24478
1671	34	Ontario	Yes	Yes	589	17	61982
1672	30	Quebec	No	Yes	2086	12	18915
1673	32	Prairies	Yes	Yes	0	15	39189
1674	53	Prairies	No	No	2086	10	52986
1675	41	Ontario	Yes	No	655	17.5	31173
1676	42	Ontario	No	No	1043	13	20876
1677	39	Ontario	No	Yes	0	10	30009
1678	53	Ontario	No	No	521	9	39021
1679	35	Prairies	Yes	Yes	0	12	43244
1680	62	Atlantic	No	No	0	11.5	41920
1681	31	BC	No	No	1653	17	30507
1682	45	Ontario	No	No	1565	10	38405
1684	39	Prairies	No	No	1304	13	15121
1685	36	Atlantic	No	No	1262	12.5	18097
1686	61	Quebec	No	No	0	7	53226
1687	52	BC	No	No	1612	17.3	68360
1688	59	Prairies	No	No	625	14	37161
1690	55	Quebec	No	No	0	7	9459
1691	31	Quebec	Yes	Yes	1564	16	26937
1692	49	Quebec	No	No	0	12	7966
1693	25	Ontario	No	No	1112	19	36058
1695	59	BC	No	No	1825	14.3	51700
1696	39	Prairies	No	No	2086	11	63030
1697	33	Quebec	No	Yes	0	12	28048
1698	23	Atlantic	No	No	1049	12	11115
1699	56	Quebec	No	No	0	6	24662
1700	49	Ontario	No	No	2086	13	2984
1701	29	Atlantic	No	No	2086	12	23298
1702	43	Prairies	No	No	3682	11	16105
1703	39	Atlantic	Yes	Yes	348	15.1	11539
1704	35	Quebec	No	Yes	302	13.6	18968
1705	26	Quebec	Yes	Yes	0	13.5	15211
1706	47	Prairies	No	No	1043	14	52187
1707	39	Prairies	No	No	2086	16	35856
1708	36	Ontario	No	Yes	430	13.1	48544
1709	35	Ontario	Yes	No	1955	15	20070
1711	50	Atlantic	No	No	52	12	39550
1712	45	BC	No	No	939	13	50125
1713	35	Prairies	Yes	Yes	0	10.5	52955
1714	50	Atlantic	No	No	1043	10	22154
1715	54	Ontario	No	No	1669	12	2628
1717	32	Prairies	No	Yes	0	12.5	24940
1718	32	Ontario	No	Yes	0	14.5	1846
1719	64	Quebec	No	No	0	7	40746
1720	37	Prairies	No	Yes	1669	9	28044
1721	44	Ontario	No	Yes	2086	14	45514
1723	37	Prairies	No	Yes	2086	14	36242
1724	48	Atlantic	No	No	0	14.2	43779
1725	59	Prairies	No	No	0	8	398
1726	31	Quebec	No	Yes	0	10.5	22938
1727	33	Quebec	Yes	Yes	0	8	29853
1728	53	Quebec	No	No	0	7	28187
1729	40	Quebec	No	No	630	12	21951
1730	36	Ontario	No	No	2086	10	53080
1731	35	Ontario	Yes	Yes	1564	15.1	40450
1732	37	Atlantic	No	No	0	13	25366
1733	24	Ontario	Yes	Yes	64	9.4	26838
1734	55	Quebec	No	No	0	14	48729
1735	32	Prairies	Yes	Yes	0	16	19940
1736	46	BC	No	No	2086	12.7	54940
1737	42	Ontario	No	No	1825	18	38716
1738	30	Ontario	No	Yes	1083	12	28031
1740	25	Atlantic	No	No	1669	14	8066
1741	26	Ontario	Yes	No	933	13	13460
1743	61	BC	No	No	0	10	15668
1745	52	BC	Yes	No	1434	10	44501
1746	42	Prairies	No	No	1981	12	12802
1747	38	Ontario	No	No	3129	10	20814
1748	64	Atlantic	No	No	0	11.5	60523
1749	41	Atlantic	No	No	385	9	15177
1750	31	Prairies	No	No	1564	12.5	11792
1751	39	Prairies	No	No	3129	12	53750
1752	52	BC	No	No	1929	13	30696
1753	45	Ontario	Yes	No	2086	14.5	0
1754	30	Atlantic	Yes	Yes	0	12	37882
1757	39	Prairies	Yes	Yes	73	12	4762
1758	44	Atlantic	No	No	1955	17.1	34675
1759	36	Ontario	No	No	1564	12	38761
1761	31	Ontario	No	No	1955	13.9	12192
1762	50	Atlantic	No	No	973	12	8407
1763	24	Atlantic	No	No	2092	12.5	0
1764	30	Prairies	Yes	No	3129	9	18163
1765	35	Ontario	No	No	1981	18.1	33078
1767	45	Atlantic	No	Yes	0	13	50378
1768	39	Quebec	No	No	0	6	28137
1769	60	Atlantic	No	No	0	9	22302
1770	47	BC	No	No	869	15.1	25440
1771	35	Prairies	No	Yes	1721	12.3	39920
1772	52	Prairies	No	No	0	7	20440
1773	47	Ontario	No	No	2086	12.5	38022
1774	30	Quebec	No	Yes	2086	12	18237
1775	35	Prairies	Yes	No	875	12	20936
1776	40	Ontario	No	No	2086	14.1	49618
1777	63	Quebec	No	No	0	8	9920
1779	40	Atlantic	Yes	No	1981	16	21591
1780	34	Ontario	Yes	Yes	834	13	17041
1781	45	BC	No	No	0	13	73527
1782	50	Ontario	No	No	328	12	31588
1783	61	Atlantic	No	No	0	14	92888
1784	51	Ontario	No	No	0	11	21613
1786	63	Quebec	No	No	0	6	21228
1787	57	Prairies	No	No	2086	8	33998
1788	46	Prairies	No	Yes	1564	16.6	8516
1789	43	Ontario	No	Yes	1890	18.1	40899
1790	61	Atlantic	No	No	0	6	20116
1791	41	Prairies	Yes	No	234	15	38407
1792	55	Ontario	No	No	1893	13	48931
1793	22	Prairies	No	No	2065	14.5	6491
1794	56	Prairies	No	No	2086	19	32488
1795	37	Ontario	No	Yes	313	14.8	25939
1796	42	Ontario	No	No	2346	17.3	9384
1797	38	Prairies	No	Yes	1955	17	25673
1798	30	Atlantic	No	Yes	1043	13	29263
1799	60	Quebec	No	No	0	12	25249
1800	34	BC	No	Yes	15	11	23595
1801	31	Ontario	No	Yes	150	14	33835
1802	32	Atlantic	Yes	Yes	160	9	14899
1803	43	Ontario	No	No	0	15	20525
1804	42	Ontario	No	Yes	1564	14	39846
1805	32	Ontario	Yes	No	1881	16	41201
1807	49	Atlantic	No	No	1990	15	52361
1808	31	Ontario	Yes	No	1193	15	31836
1809	44	Quebec	No	Yes	1841	13	33358
1810	31	Prairies	Yes	Yes	0	9	32455
1811	51	Prairies	No	No	2086	12	18235
1812	32	Ontario	Yes	No	0	14.5	28183
1813	64	Prairies	No	No	0	12	50694
1814	40	Atlantic	No	Yes	1521	12	7065
1815	37	Atlantic	No	No	0	13.5	40206
1816	37	Quebec	No	No	0	10	37080
1817	54	Ontario	No	No	0	11	27842
1818	52	Prairies	No	No	1356	9	50174
1819	60	Atlantic	No	No	2086	8	25943
1820	40	Prairies	No	No	1460	8.5	28890
1821	55	Atlantic	No	No	1841	11	24853
1822	31	Ontario	No	Yes	1043	12	7956
1823	35	Atlantic	No	No	847	11	26087
1824	41	Prairies	No	Yes	2738	13	11119
1825	55	Ontario	No	No	626	10	16271
1826	55	Prairies	No	No	0	12.5	30188
1827	25	Ontario	Yes	No	1115	17	31330
1828	47	Ontario	No	Yes	0	11.5	34212
1829	50	Prairies	No	No	1981	9.1	14089
1830	65	Atlantic	Yes	No	0	12.5	34462
1831	61	Atlantic	No	No	0	8	22462
1832	37	Prairies	No	No	1955	12	27760
1833	40	Ontario	No	No	782	10	28557
1834	28	Prairies	Yes	No	278	13	21919
1835	32	Quebec	Yes	Yes	1304	13	22014
1836	46	BC	No	No	2086	14	66012
1838	43	Atlantic	No	Yes	5	16.9	37395
1839	45	Atlantic	No	No	0	7	29309
1840	59	Prairies	No	No	0	12	37926
1841	45	Ontario	No	No	2086	17	73217
1842	39	Ontario	No	No	2086	16.6	31760
1843	30	Ontario	Yes	No	417	16.9	19129
1845	35	BC	No	No	0	9.5	0
1846	62	Atlantic	No	No	0	12	9144
1847	46	Atlantic	No	No	2086	11	34030
1848	43	Ontario	No	No	3129	13	27217
1849	25	Ontario	No	No	1251	13	10909
1850	37	Atlantic	No	No	1929	14.2	5666
1851	29	BC	Yes	Yes	3547	12.1	35136
1852	30	BC	Yes	No	1738	12	37068
1853	26	Quebec	No	Yes	0	14	33742
1854	45	Prairies	No	No	2086	12	43954
1855	49	Quebec	No	No	1043	11	49020
1856	51	Prairies	No	No	0	13	47591
1857	44	Ontario	No	Yes	66	11.5	27926
1858	34	Atlantic	Yes	No	763	16	34588
1859	65	Ontario	No	No	0	12	53834
1860	31	Ontario	No	Yes	435	10	41114
1861	54	BC	No	No	1564	15.5	22212
1862	47	Ontario	No	No	0	8	32814
1863	65	Quebec	No	No	0	11	23661
1864	64	Prairies	No	No	1173	15	74962
1865	37	Prairies	No	Yes	1066	15	5420
1866	56	Prairies	No	No	2086	0	34571
1867	47	Quebec	No	No	0	7	16284
1868	35	Ontario	No	No	2086	12	87684
1869	53	Ontario	No	No	1955	10	46496
1870	65	Atlantic	No	No	0	7	5915
1871	49	Quebec	No	No	0	9	46994
1872	54	Ontario	No	No	0	11	28202
1873	57	Atlantic	Yes	No	0	13	47475
1874	59	Ontario	No	No	1790	19	15694
1875	36	Prairies	Yes	No	0	17.5	14967
1876	34	Atlantic	Yes	Yes	2086	16	27350
1877	63	Quebec	No	No	0	8	26255
1878	51	Quebec	No	No	0	11	36153
1879	29	Quebec	Yes	No	782	18	36917
1880	34	Ontario	No	Yes	695	14	31157
1881	40	Atlantic	No	Yes	752	11	25396
1882	54	Prairies	No	No	1825	11	29394
1883	41	Atlantic	No	No	3807	16	33711
1884	48	Ontario	No	No	0	12	88811
1886	39	Quebec	No	No	1199	12	42637
1887	50	Atlantic	No	No	652	10.5	17850
1888	40	Ontario	No	Yes	958	14	38167
1889	65	Ontario	No	No	1841	12	11401
1890	54	Atlantic	Yes	No	1955	16	24892
1891	60	Ontario	No	No	417	10	62756
1892	33	Prairies	Yes	Yes	2086	6	7936
1894	42	Ontario	No	No	1282	12.5	33111
1895	37	Ontario	No	Yes	1955	12	30665
1896	61	Ontario	No	No	0	8	22560
1897	61	Ontario	No	No	1564	11	14135
1898	42	Atlantic	Yes	No	0	9	19962
1899	37	Prairies	No	Yes	1512	12	43215
1900	29	Atlantic	Yes	No	1955	15	22849
1902	61	Prairies	No	No	1147	12.5	12223
1903	41	Quebec	Yes	No	1964	12	33553
1904	41	Prairies	No	No	2086	17.5	4842
1905	27	Ontario	No	No	2086	16	38963
1906	29	Quebec	No	No	2086	17	22681
1908	44	Atlantic	No	No	2086	17	73731
1909	36	BC	No	Yes	1101	13	39468
1910	54	Quebec	No	No	1034	9	19478
1911	32	Atlantic	Yes	No	377	12.5	9124
1912	38	Atlantic	No	No	1981	12.5	23636
1913	19	Ontario	Yes	No	503	12	11961
1914	37	Prairies	No	Yes	265	13	30247
1916	40	Ontario	No	Yes	1062	13.4	36375
1917	56	Prairies	No	No	1955	10	14989
1918	45	BC	No	No	1521	18.6	50726
1919	51	Ontario	No	No	0	10	14432
1920	48	Atlantic	No	No	3650	14	60552
1921	32	Ontario	No	Yes	2346	14	21672
1922	28	Ontario	Yes	No	1130	12	2539
1923	36	Atlantic	No	No	1697	12	17292
1924	61	Prairies	No	No	0	10	45370
1925	43	Prairies	Yes	No	2086	20	26872
1926	34	Ontario	Yes	Yes	521	16	4431
1927	35	Atlantic	No	Yes	1747	13	23091
1928	46	Atlantic	No	No	0	8	32602
1929	56	Quebec	No	No	0	14	23477
1930	29	Ontario	Yes	Yes	2086	12.5	22473
1932	42	Ontario	No	No	1564	12.5	25946
1934	39	Quebec	No	Yes	3129	11	29087
1935	36	BC	Yes	Yes	0	13	45652
1936	63	BC	No	No	1841	17	29881
1937	42	Quebec	No	No	656	11.2	19854
1938	31	Prairies	Yes	No	1714	3	78488
1939	44	Prairies	No	No	760	15.6	798
1940	55	Atlantic	No	No	0	8	38234
1941	65	BC	No	No	0	12	32809
1942	62	Quebec	No	No	0	9.5	27930
1943	37	Quebec	No	No	0	12	38425
1944	38	Atlantic	Yes	No	2086	16	18436
1945	64	Prairies	No	No	0	4	27742
1946	41	Atlantic	No	No	0	12.5	60574
1948	64	Atlantic	No	No	0	13	21603
1949	34	Atlantic	No	Yes	0	12.5	14195
1950	31	Ontario	Yes	Yes	1123	14	4277
1951	47	Quebec	No	No	417	17	41712
1952	38	Ontario	Yes	No	2086	18	33206
1953	61	Ontario	No	No	0	11.5	37697
1954	38	Prairies	No	No	1564	11	44694
1956	40	Atlantic	No	Yes	0	12	17010
1957	42	Prairies	No	Yes	0	16	126805
1958	52	Ontario	No	No	1564	15	65081
1959	63	Atlantic	No	Yes	0	9	42703
1960	40	Atlantic	No	Yes	1825	11.5	40215
1961	32	Prairies	No	No	1981	14	25380
1962	28	Prairies	No	Yes	1460	10	28841
1963	49	BC	No	No	1825	10	32383
1964	34	Quebec	No	No	1825	11	10676
1965	60	Ontario	No	No	0	12.5	39168
1966	35	Ontario	No	No	2086	13	35048
1967	61	Quebec	No	No	0	10	19910
1968	59	Ontario	No	No	0	10	33906
1969	34	Atlantic	No	No	1757	16	20775
1970	59	BC	No	No	0	8	43858
1971	44	Quebec	No	No	1825	13	37360
1972	34	Ontario	Yes	Yes	0	16	53236
1973	47	Ontario	No	No	0	8	16621
1975	31	Ontario	No	Yes	0	14	31795
1976	32	Prairies	No	Yes	209	12	23945
1977	58	Atlantic	No	No	0	12	22392
1978	23	Atlantic	Yes	No	869	12.5	16038
1979	53	Ontario	No	No	2086	14	68321
1980	54	Quebec	No	No	1251	12	21117
1981	54	Atlantic	No	No	0	12	30297
1982	60	Ontario	No	No	0	8	23008
1983	34	Quebec	No	Yes	726	12.5	16610
1984	51	Quebec	No	No	1825	8	28675
1985	62	Atlantic	No	No	0	10	30826
1986	41	Prairies	No	Yes	1825	17	94325
1987	44	BC	No	No	527	12	19583
1988	45	Prairies	No	No	1825	15	39687
1989	44	Atlantic	No	No	1130	11	68682
1990	50	Quebec	No	No	0	13	57788
1991	41	Prairies	No	No	1304	8	61273
1992	25	Atlantic	Yes	No	0	14.8	1270
1993	61	BC	No	No	261	10	54743
1994	39	Quebec	Yes	Yes	1825	17	61868
1995	45	Prairies	No	No	1825	13.4	42961
1996	45	Ontario	No	No	2346	19.3	34266
1997	65	Prairies	No	No	0	12	21872
1998	30	Ontario	No	No	1071	17	41115
1999	61	Ontario	No	No	2086	10	71359
2001	32	Ontario	Yes	Yes	814	15	20560
2003	34	Ontario	Yes	No	52	9	22318
2004	36	Atlantic	No	No	0	8	16530
2005	39	Atlantic	No	No	0	8	10090
2006	41	Prairies	No	Yes	0	10	26683
2007	49	Ontario	No	No	1955	16	21243
2008	25	Ontario	No	No	1204	15	39783
2009	49	BC	No	No	1199	15	23631
2010	30	Prairies	Yes	Yes	0	18	43751
2011	54	Ontario	No	No	2086	12	43210
2012	36	Atlantic	No	No	633	8	20062
2013	55	Ontario	No	No	2086	9	17690
2014	53	Prairies	No	No	104	13	53440
2015	58	Atlantic	No	No	0	11	19895
2016	45	Atlantic	No	No	0	9.5	39436
2017	64	Ontario	No	No	0	12	21224
2018	63	Quebec	No	No	0	10	20185
2019	30	BC	No	Yes	1564	12	30413
2020	59	Ontario	No	No	0	12	25388
2021	38	Quebec	No	Yes	0	12	29631
2022	32	Quebec	Yes	Yes	1540	20	16662
2023	60	Quebec	No	No	1825	7	0
2025	57	Atlantic	No	Yes	0	8	51309
2026	29	Prairies	Yes	Yes	0	12	38479
2027	50	Atlantic	No	No	652	13	23212
2028	63	Atlantic	No	No	0	8	0
2029	43	Quebec	No	No	1893	15	32437
2030	55	Quebec	No	No	0	9	33497
2031	60	Atlantic	No	No	0	12	21088
2032	43	BC	No	No	246	12	36741
2033	33	Prairies	Yes	No	2085	18.5	44009
2034	44	BC	Yes	No	834	17	113297
2035	59	Ontario	No	No	0	12	34050
2036	50	Prairies	No	No	2868	12	47013
2037	56	Ontario	No	No	100	12	22268
2038	38	Ontario	No	No	1825	13	25158
2039	52	Quebec	No	No	0	10	50130
2040	31	BC	Yes	Yes	626	11.4	27849
2041	33	Ontario	Yes	Yes	0	14	29407
2042	53	Atlantic	No	No	1955	15	37760
2043	50	Prairies	No	No	0	12	56366
2044	31	Quebec	Yes	Yes	104	16.6	23131
2045	33	Atlantic	No	No	1260	9	5604
2046	28	Prairies	Yes	No	1130	15	20932
2047	63	BC	No	No	0	8	48132
2048	44	Quebec	No	No	1825	12	50754
2049	58	Prairies	No	No	1042	13	38954
2050	59	Atlantic	No	No	0	13	49031
2051	39	Ontario	No	No	2086	13.9	65344
2052	36	Prairies	No	No	0	14	31982
2053	37	Quebec	No	No	1955	12	40115
2054	42	BC	No	Yes	1635	12	20603
2055	34	BC	Yes	Yes	2390	13.3	25036
2056	64	Ontario	No	No	0	12	19186
2057	40	BC	No	Yes	1304	12.1	29054
2058	34	Quebec	No	Yes	1825	10	21342
2059	42	BC	No	No	1251	14	40365
2061	49	Prairies	No	No	626	10	12157
2062	40	Atlantic	No	No	2086	12	37382
2064	28	Ontario	Yes	Yes	0	13	31518
2065	26	Prairies	No	No	0	13.1	36720
2066	34	Ontario	Yes	No	0	14	56279
2067	30	Ontario	Yes	No	985	16.1	26082
2069	55	Ontario	No	No	1929	10	26519
2070	56	Quebec	No	Yes	1217	7	29576
2071	32	Prairies	No	No	0	14	42634
2072	25	Atlantic	Yes	No	0	13.5	40223
2073	57	Quebec	No	No	0	7	14237
2074	37	Prairies	No	Yes	0	18	45130
2075	38	Quebec	No	No	1288	12	27499
2076	49	BC	No	No	683	20	53904
2079	36	Prairies	No	No	939	16	39814
2080	64	Ontario	No	No	0	13	42297
2081	40	Atlantic	No	No	1043	12.5	32322
2082	42	Ontario	No	No	1304	15	39147
2084	54	Quebec	No	No	0	7	12008
2085	52	Prairies	No	No	13	17	35975
2086	64	Ontario	No	No	2086	12	0
2087	45	Atlantic	No	No	2086	12	19597
2088	45	Prairies	No	No	2086	11	5061
2089	21	Ontario	No	No	1825	12	27433
2090	62	BC	No	No	0	13	32598
2091	47	Quebec	No	No	2087	11	31053
2092	57	Atlantic	No	No	834	12	31272
2093	44	Ontario	Yes	Yes	0	16	21642
2094	24	Prairies	Yes	No	2121	13	11632
2095	30	Quebec	Yes	No	0	18	39465
2096	65	Prairies	No	No	0	9	28428
2097	48	Ontario	No	No	1460	10.5	44130
2098	35	Atlantic	Yes	Yes	1955	14	19342
2099	34	Prairies	No	Yes	1303	12.5	37937
2100	36	Prairies	No	Yes	1669	13	34507
2101	56	Ontario	No	No	2433	15.5	8754
2102	65	Quebec	No	No	0	15.5	14554
2103	39	Atlantic	No	No	834	14	16458
2104	32	Quebec	Yes	No	0	11	17534
2105	53	Prairies	No	No	235	12.5	39356
2106	48	Ontario	No	No	1825	12	35500
2107	59	Prairies	No	No	0	12	27465
2108	38	Atlantic	No	Yes	0	12	25488
2109	32	Ontario	Yes	No	147	13	14139
2110	49	Quebec	No	No	317	14.3	39632
2111	31	Atlantic	No	No	1251	14.8	11956
2112	43	Ontario	No	No	2086	19	44687
2113	34	Atlantic	No	No	1825	12	8695
2115	38	Atlantic	No	Yes	1304	14	29484
2116	34	Atlantic	No	Yes	2347	13	23654
2117	54	Atlantic	No	No	1251	12	33000
2118	56	Ontario	No	No	0	11	84389
2119	48	Prairies	No	No	0	11.7	29077
2120	33	Ontario	No	Yes	26	13	42657
2121	37	Ontario	No	No	1091	13	37908
2122	45	BC	No	No	626	14	69021
2123	48	Prairies	No	No	0	12	64659
2124	64	Ontario	No	No	0	10	20882
2125	42	Ontario	No	No	2086	12	12149
2126	59	Prairies	No	No	999	10	11402
2127	63	Ontario	No	No	0	17.1	31346
2128	43	Prairies	No	No	2086	13	11481
2129	61	Atlantic	No	No	0	8	6742
2130	37	Prairies	No	No	2086	12.5	28810
