hsgrad  nonwhite    mhs fhs income  asvab   nsibs   intact
3016    Yes No  Yes Yes  7.155   1.428   2  Yes
3019    Yes No  Yes Yes 14.000   0.538   5  Yes
3024    Yes No  No  No  14.000  -0.549   1  Yes
3026    Yes No  No  No  15.119   0.400   4  Yes
3044    No  No  No  No   2.259   0.000   2  No
3055    Yes No  Yes No  12.500  -0.875   2  No
3056    Yes No  No  No  12.413   1.384   2  Yes
3072    Yes Yes No  No   0.816  -0.921   6  No
3082    Yes No  No  No   4.327  -0.076   6  Yes
3086    Yes No  Yes No  15.652   1.305   2  Yes
3127    Yes No  Yes Yes  7.757  -0.794   5  Yes
3128    Yes No  Yes Yes 15.000   0.407   2  Yes
3141    Yes No  Yes No  14.434   1.488   2  Yes
3142    Yes No  No  No  15.000   1.546   1  Yes
3149    Yes No  Yes Yes 10.392  -0.048   0  Yes
3160    Yes No  No  No   7.250   0.000   2  No
3161    Yes No  No  No   7.250   0.075   2  No
3171    Yes No  No  No  33.541   1.573   2  Yes
3194    No  No  Yes No  12.702  -0.222   0  No
3210    Yes No  Yes No  12.522   0.505   2  Yes
3219    Yes No  Yes No   8.839   0.720   5  Yes
3220    Yes No  Yes No   8.839   1.187   5  Yes
3230    No  No  No  Yes 11.547  -1.179   2  Yes
3239    Yes Yes Yes Yes 14.758   0.501   2  Yes
3240    Yes No  Yes Yes 11.023   1.477   3  No
3247    Yes No  Yes No   6.532   0.231   4  No
3255    Yes No  Yes No  12.500   1.552   2  Yes
3257    Yes No  No  No   8.944   1.539   2  Yes
3265    Yes No  No  No   3.800  -0.375   3  Yes
3267    Yes Yes Yes Yes 11.180   1.104   3  Yes
3270    No  Yes No  No   2.851  -1.596   4  No
3272    No  No  No  No   3.080  -1.016   6  No
3274    No  No  No  Yes  2.249   0.000   3  No
3281    Yes No  No  No  16.000   0.526   2  Yes
3283    Yes No  No  No   6.485  -0.837   2  No
3296    No  No  No  No   4.596   0.866   0  No
3310    Yes Yes Yes Yes  4.080  -0.605   0  No
3311    No  Yes Yes No   5.292  -0.741   4  Yes
3314    No  No  No  No   6.500   0.140   2  No
3318    No  Yes No  Yes  5.550  -1.533   5  Yes
3323    Yes Yes No  Yes  0.900  -0.281   3  No
3326    Yes Yes Yes Yes  4.243  -1.596   4  No
3329    Yes No  No  Yes 10.733   0.922   2  Yes
3330    Yes No  No  Yes  9.839  -0.792   2  Yes
3334    No  Yes No  Yes 10.000  -0.464   2  No
3346    Yes No  Yes Yes  9.391  -0.895   2  Yes
3353    Yes No  No  No  10.614  -0.791   3  Yes
3354    Yes No  No  No  10.614   0.008   3  Yes
3356    Yes No  Yes Yes  0.919   0.076   4  No
3357    Yes No  Yes No  13.416   0.284   5  No
3361    Yes No  Yes No  10.206   0.751   2  Yes
3374    Yes No  Yes No   8.839   0.191   5  Yes
3379    Yes No  Yes Yes 12.500   1.270   2  Yes
3381    Yes No  Yes Yes 22.361   1.247   2  Yes
3382    Yes No  Yes Yes 14.434   0.918   1  No
3385    Yes No  Yes Yes 12.060   0.988   9  Yes
3388    Yes No  No  No  14.000   1.421   3  No
3395    Yes No  Yes No   7.071   0.695   0  No
3404    Yes No  Yes Yes  7.757   1.474   3  Yes
3405    Yes No  Yes Yes  7.757   1.402   3  Yes
3425    Yes No  No  Yes  1.633   0.997   4  Yes
3431    Yes No  No  No  16.667   1.576   6  Yes
3440    No  No  No  No   4.000  -0.753   4  No
3443    Yes No  No  Yes  8.944   1.509   2  Yes
3453    Yes No  Yes No  13.750  -0.592   1  No
3460    Yes No  Yes Yes  8.944  -0.682   2  Yes
3461    Yes No  No  No   8.485   1.315   5  Yes
3462    Yes No  No  No   8.485   0.205   5  Yes
3463    Yes No  No  No   8.485   0.321   5  Yes
3464    Yes No  Yes No   8.165   1.402   3  Yes
3466    Yes No  Yes No   8.165   0.934   3  Yes
3471    Yes No  Yes Yes  6.940  -0.539   3  Yes
3479    Yes No  Yes Yes 17.000  -0.272   2  Yes
3489    Yes No  Yes Yes  8.000   0.243   0  Yes
3492    Yes No  Yes No   6.868   0.438   6  No
3497    Yes No  No  No  10.614   1.161   4  Yes
3507    Yes No  No  Yes 13.880   0.913   3  Yes
3509    Yes No  No  Yes 17.321   0.000   2  Yes
3513    Yes No  No  Yes 11.500  -0.360   2  Yes
3516    Yes No  Yes Yes  8.165  -0.329   3  Yes
3517    Yes No  Yes Yes  8.165  -0.051   3  Yes
3520    Yes No  Yes Yes 11.263  -0.269   6  Yes
3521    Yes No  Yes Yes 11.263  -0.020   6  Yes
3528    Yes No  Yes No  14.741   0.236   6  Yes
3529    Yes No  Yes No  14.741   0.215   6  Yes
3530    Yes No  No  No  19.630   1.518   2  Yes
3540    No  Yes No  No   5.000  -0.126   3  No
3553    Yes No  No  No   5.367   1.158   8  Yes
3561    Yes No  Yes No   8.083  -1.650   4  No
3569    Yes No  Yes Yes  7.666  -0.704   4  Yes
3570    No  No  No  No   9.208  -1.189   4  No
3582    Yes No  Yes No  18.000   1.255   1  Yes
3583    Yes No  Yes No  18.000   1.744   1  Yes
3585    Yes No  Yes Yes  9.500   1.693   2  Yes
3588    Yes No  Yes No   7.137   0.703   2  No
3592    Yes No  Yes Yes  8.573   0.711   6  Yes
3599    Yes No  Yes Yes 18.000   0.465   1  Yes
3612    Yes No  Yes Yes 10.510  -0.149   4  Yes
3615    Yes No  No  Yes 15.011   0.991   4  Yes
3616    Yes No  Yes No   8.689   1.373   3  Yes
3620    Yes No  Yes No  10.392   0.253   2  Yes
3623    Yes No  Yes No  10.104   1.641   0  Yes
3639    No  No  No  No   6.205  -1.614   3  Yes
3640    Yes No  No  No   6.205  -1.657   3  Yes
3642    Yes No  No  Yes  4.919   0.093   2  Yes
3656    Yes No  Yes No   7.603   0.025   2  Yes
3660    Yes No  No  No   2.570  -1.511   8  Yes
3666    Yes No  Yes Yes 10.253   1.345   0  No
3690    Yes No  No  No   0.000   1.509   1  Yes
3693    No  No  No  No  14.000  -0.289   2  No
3695    No  Yes No  No   8.573   0.254   3  No
3723    Yes No  No  No   5.814   0.157   2  Yes
3732    Yes No  Yes No  13.864   1.661   2  Yes
3742    No  No  Yes No   8.533  -0.373   1  Yes
3743    Yes No  Yes No  14.500   1.568   1  Yes
3747    Yes No  No  Yes 16.971  -0.182   0  Yes
3750    Yes No  Yes Yes  3.130   0.673   3  No
3751    No  No  Yes Yes  3.130   0.171   3  No
3757    Yes No  Yes No  21.939   1.643   1  Yes
3760    Yes No  Yes Yes 11.180   0.194   2  Yes
3776    No  No  Yes No  17.000   1.285   2  Yes
3780    Yes No  Yes No  10.500   0.407   1  No
3788    Yes No  Yes No  13.081   0.956   2  Yes
3795    Yes No  No  No  13.500   0.917   1  Yes
3805    Yes No  No  No  17.889   0.966   2  Yes
3815    Yes No  Yes No  20.412   1.231   3  Yes
3827    Yes Yes Yes No   3.536  -1.311   3  No
3830    Yes No  No  Yes  8.573  -0.186   3  No
3833    Yes No  Yes Yes 13.416   0.307   2  Yes
3838    No  No  Yes Yes  6.261   0.186   3  No
3852    Yes No  Yes Yes  5.367  -0.056   2  Yes
3854    Yes No  No  No   8.083   1.060   1  No
3860    Yes No  Yes No  13.416   1.693   2  Yes
3861    Yes No  Yes No  14.311   1.505   2  Yes
3863    Yes No  No  No  31.754   1.469   4  Yes
3865    Yes No  Yes No   6.293   1.415   2  No
3868    Yes No  Yes No  11.180   1.337   2  Yes
3874    Yes No  No  No  18.783   1.504   2  Yes
3875    Yes No  No  No  18.783   1.358   2  Yes
3880    Yes No  Yes No  17.500   1.311   2  Yes
3884    Yes No  No  Yes 10.286   0.713   2  Yes
3885    Yes No  Yes No  11.717   1.828   4  Yes
3886    Yes No  Yes No  11.717   1.580   4  Yes
3887    Yes No  No  No  12.522   1.828   2  Yes
3888    Yes No  No  No  17.500   0.600   1  Yes
3890    Yes No  No  No  21.500   1.273   1  Yes
3892    Yes No  Yes No  16.330   1.520   4  Yes
3894    Yes No  Yes Yes 23.094   1.428   0  Yes
3898    Yes No  No  No  17.963   1.002   3  Yes
3904    Yes No  No  No  12.500   0.825   1  Yes
3910    Yes No  No  No  10.681   0.470   1  Yes
3932    Yes Yes No  No   7.155  -0.405   3  Yes
3933    Yes Yes No  No   7.155  -1.410   3  Yes
3955    No  Yes Yes No   3.667  -1.469   6  Yes
3956    Yes Yes Yes Yes 10.000   0.568   4  Yes
3963    Yes No  No  No   9.000  -0.200   3  No
3965    Yes No  Yes No  12.350   0.650   2  Yes
3968    Yes No  Yes No   4.041   1.385   0  Yes
3989    Yes No  Yes No  11.547  -0.231   0  Yes
3994    Yes No  Yes No   4.082   0.188   3  Yes
3999    No  No  No  Yes  4.899  -0.398   4  Yes
4009    Yes No  No  No   5.879   0.561   3  No
4010    Yes No  No  Yes  5.969   1.075   3  Yes
4013    Yes No  No  Yes  9.839  -0.961   2  No
4014    Yes No  No  Yes  9.839  -0.582   2  No
4020    Yes Yes No  No   3.578  -0.597   2  Yes
4022    Yes No  No  No  15.000  -0.726   1  Yes
4025     2.776  -1.208   7  Yes
4070    No  Yes No  No   1.581  -1.384   9  No
4072    No  Yes No  No   3.828  -0.930   4  No
4073    Yes Yes No  Yes  9.500  -0.770   2  Yes
4087    Yes No  Yes Yes  6.928   0.705   2  Yes
4090    Yes No  Yes No   6.000  -0.099   1  Yes
4098    No  No  Yes Yes 12.522  -1.178   2  Yes
4106    Yes No  No  No  21.362   1.335   1  No
4113    Yes No  Yes No   3.130  -1.066   4  No
4114    Yes No  No  No  11.547   0.543   0  Yes
4127    Yes No  Yes Yes  4.619   0.799   3  No
4129    Yes No  No  No   6.047   0.585   4  Yes
4130    Yes No  No  No   6.047  -2.067   4  Yes
4138    No  No  No  Yes  5.144  -1.581   3  No
4141    No  No  No  No   7.500   0.059   1  Yes
4155    No  No  Yes No  10.200  -1.359   1  No
4156    No  No  No  No   8.410  -1.273   3  No
4158    No  No  No  Yes 15.000  -0.536   1  No
4161    Yes No  Yes Yes  8.660   0.162   0  Yes
4164    Yes No  No  No  37.501   0.550   1  No
4171    Yes No  Yes No  12.075   1.374   5  Yes
4172    Yes No  No  No  12.500   1.458   1  Yes
4181    No  Yes Yes Yes  0.566  -0.149   7  No
4191    Yes No  No  No  15.652   1.454   2  Yes
4205    Yes Yes Yes No   4.082  -1.699   4  Yes
4209    No  Yes Yes No   1.878  -1.656   2  Yes
4216    Yes No  Yes Yes 10.286   0.273   2  Yes
4230    Yes No  No  No   8.485   1.164   4  No
4233    Yes No  Yes No  12.021   0.243   0  Yes
4234    Yes No  No  No   9.000  -0.321   1  Yes
4242    Yes No  Yes Yes  8.050   0.024   5  Yes
4243    Yes No  Yes No   3.578  -1.476   2  No
4244    Yes No  No  No  16.100   1.456   2  Yes
4245    Yes No  No  No  16.100   0.505   2  Yes
4247    Yes No  No  No   1.039  -0.279   6  Yes
4248    Yes No  No  No   7.826   0.845   2  No
4263    No  No  No  No   3.578  -0.726   6  No
4285    Yes No  No  Yes  7.615   0.061   3  No
4289    Yes No  Yes No  10.000   1.596   3  Yes
4298    Yes No  Yes Yes  6.261   1.409   5  No
4299    Yes No  Yes Yes  6.261   0.947   3  No
4302    Yes No  Yes No   4.472   1.287   2  Yes
4303    Yes No  Yes No   4.472   0.238   2  Yes
4307    Yes No  Yes No  15.000   1.401   1  Yes
4309    Yes No  No  No  15.000   0.674   1  Yes
4312    Yes Yes No  No   3.182  -1.511   6  Yes
4313    Yes Yes No  No   3.182  -1.118   6  No
4314    No  Yes No  No   3.182  -1.079   6  Yes
4318    Yes Yes Yes Yes  5.669   0.890   4  Yes
4324    Yes Yes No  No   7.217  -0.972   5  No
4327    Yes No  Yes Yes  6.261   1.001   4  No
4330    Yes No  Yes No  13.856  -1.257   1  Yes
4333    No  No  Yes No   6.406   0.086   6  No
4338    Yes No  No  No   5.367   0.374   2  Yes
4342    Yes No  No  No   9.000   0.109   2  Yes
4343    Yes No  No  No   9.000  -0.082   2  Yes
4348    No  No  No  Yes 10.607   0.265   1  No
4365    Yes No  No  No   5.715   1.204   3  No
4382    Yes No  Yes Yes 21.362   1.667   2  Yes
4385    No  No  No  No   6.708   0.000   8  Yes
4390    Yes No  Yes No  10.286  -0.574   2  Yes
4394    Yes No  No  No  25.000   0.468   3  Yes
4401    No  No  No  Yes 10.000   0.222   3  Yes
4407    Yes No  No  No  14.289   1.277   3  Yes
4410    Yes No  Yes No  12.247   0.549   3  Yes
4412    Yes Yes Yes No   4.950  -0.912   5  Yes
4418    Yes No  Yes Yes  0.000   0.364   3  Yes
4427    Yes No  No  No   4.619   0.197   1  Yes
4429    Yes No  No  No   5.000   1.535   3  No
4430    Yes Yes No  No   5.367   0.941   4  No
4436    No  No  No  No   4.919  -1.094   4  No
4448    Yes No  Yes No  13.279   1.201   1  No
4461    No  No  No  No  11.180  -1.057   2  Yes
4466    Yes No  Yes Yes  5.774   0.041   1  No
4470    Yes No  Yes No  15.652   0.513   2  Yes
4471    Yes No  Yes Yes  8.700   1.214   1  No
4480    Yes Yes Yes No  23.000   1.538   1  Yes
4486    Yes Yes Yes No   6.000   0.480   2  No
4498    Yes Yes No  No   3.354   0.499   4  No
4504    No  No  Yes No   3.062  -1.791   4  Yes
4518    Yes No  Yes Yes  6.708  -0.423   2  Yes
4519    Yes No  Yes Yes  3.462   0.213   4  No
4524    Yes Yes Yes No  15.652   0.470   2  No
4529    Yes No  No  No  18.500   0.000   1  No
4531    Yes No  No  No  16.166   1.137   1  Yes
4540    Yes No  Yes Yes  5.196  -0.396   1  No
4542    Yes No  No  No   2.012  -1.485   3  No
4548    Yes No  Yes No  17.321   1.267   2  Yes
4549    Yes No  Yes No  11.339   0.160   4  Yes
4563    Yes No  No  Yes 13.279   0.006   0  Yes
4566    Yes No  Yes Yes 11.547   1.105   3  No
4577    Yes No  No  No  13.000   0.030   1  Yes
4579    Yes No  Yes Yes 12.500   0.985   3  Yes
4583    Yes No  No  No   5.824   0.680  10  Yes
4586    Yes No  No  No   2.254   1.194   2  Yes
4595    Yes No  No  Yes 15.000   0.110   2  Yes
4597    No  No  No  No  11.547  -0.586   6  No
4610    Yes No  Yes Yes 10.000   1.187   2  No
4619    No  No  No  No   2.268  -1.104   5  No
4620    No  No  No  No   2.268  -1.865   5  No
4621    Yes No  No  No   6.500   0.829   3  No
4623    Yes No  Yes No  10.000  -0.967   1  Yes
4629    Yes No  No  No  20.000   0.708   1  Yes
4630    Yes No  No  No  20.000   0.211   1  Yes
4635    Yes No  Yes No  20.412   1.417   3  Yes
4640    Yes No  Yes No   6.351  -0.565   1  No
4642    Yes No  Yes No  11.180   0.362   2  Yes
4643    No  No  Yes No   2.828  -0.499   2  Yes
4647    Yes No  No  No  12.355   1.460   6  No
4661    Yes No  No  No  13.229   0.824   4  Yes
4667    Yes No  No  No  22.361   0.862   2  Yes
4669    Yes No  Yes No  12.522  -0.538   2  Yes
4676    Yes No  Yes Yes  0.894   1.388   2  Yes
4677    Yes No  No  No   4.965   0.167   6  Yes
4687    Yes No  Yes No  20.000   1.040   1  Yes
4698    Yes No  No  Yes 12.500   0.891   1  Yes
4699    Yes No  No  No  11.180   0.850   3  Yes
4702    Yes No  No  No  13.416   1.296   2  Yes
4707    Yes No  Yes No  11.180   0.470   2  Yes
4709    Yes No  No  No  35.000   0.458   1  Yes
4712    No  Yes No  No   6.957  -1.423   7  Yes
4722    Yes No  Yes Yes 12.500   0.005   1  Yes
4732    Yes No  Yes No   3.831  -0.718   5  Yes
4736    No  No  No  Yes  1.490  -1.072   1  No
4740    Yes No  Yes Yes 13.856  -0.218   0  Yes
4747    Yes No  No  No   8.050  -1.051   5  Yes
4752    Yes No  No  No   6.928   0.437   6  No
4755    Yes No  Yes Yes 14.289   0.363   3  Yes
4756    Yes No  No  No  16.000   1.828   1  Yes
4760    Yes No  No  No  11.500   1.429   1  Yes
4765    Yes No  Yes Yes 13.500   0.592   3  Yes
4770    Yes No  Yes No   9.238   0.393   3  Yes
4773    No  No  No  No   4.023  -1.250   8  No
4776    Yes No  No  No   3.024  -0.810   4  Yes
4779    Yes No  No  No  10.500  -1.314   1  Yes
4789    Yes No  Yes Yes 12.522   0.836   4  Yes
4793    Yes No  Yes Yes  6.124   1.295   3  Yes
4794    Yes No  Yes Yes  6.124   0.582   3  Yes
4799    No  No  Yes No  12.075   1.329   2  Yes
4805    Yes No  Yes No  19.000   0.913   1  Yes
4813    Yes No  No  No   7.500   0.265   1  Yes
4816    Yes No  No  No   5.000   1.407   6  No
4828    Yes No  No  No   9.827   1.213   4  Yes
4829    Yes No  No  No   9.827   1.264   4  Yes
4830    Yes No  No  No   9.827   1.396   4  Yes
4831    Yes No  No  No   9.827   1.319   4  Yes
4832    Yes No  No  Yes  3.780   1.392   2  Yes
4834    Yes No  Yes Yes  8.165   0.147   5  No
4835    Yes No  No  Yes  8.165   1.079   3  Yes
4840    Yes No  Yes No   5.374   1.292   2  No
4843    Yes No  No  Yes  5.000   0.083   3  Yes
4850    Yes No  Yes No   5.715  -1.103   3  Yes
4854    Yes No  Yes No   6.940   0.640   3  No
4855    Yes No  Yes No   6.940   0.635   3  No
4856    Yes No  Yes Yes 13.741   1.013   1  Yes
4860    Yes No  Yes Yes  7.115  -0.602   3  No
4862    Yes No  Yes Yes  7.115   1.268   8  No
4894    Yes No  Yes Yes  4.840   1.020   3  Yes
4895    Yes No  Yes No  10.733   0.945   2  Yes
4898    Yes No  Yes No   8.165   0.746   5  Yes
4908    Yes No  Yes No  10.330  -0.367   1  Yes
4911    Yes No  No  Yes  4.400   0.899   2  Yes
4912    Yes No  Yes Yes  6.124   1.133   3  Yes
4913    Yes No  Yes Yes  6.124   0.196   3  Yes
4918    No  No  No  No   5.544  -1.392   7  No
4923    No  No  No  No   4.041  -0.907   7  Yes
4937    No  No  No  No   3.176  -1.518   6  Yes
4942    Yes No  No  No   2.907  -0.978   4  Yes
4979    Yes Yes Yes Yes  2.885   0.535   2  No
4983    No  No  No  No   4.157  -0.747   9  Yes
4985    No  No  Yes No   8.497  -1.331   2  Yes
4998    Yes No  No  No  37.501   1.073   2  Yes
5005    Yes No  No  No  43.302   0.414   2  Yes
5012    Yes No  No  No  22.500   1.215   1  Yes
5013    Yes Yes Yes Yes  8.944   0.461   2  Yes
5029    Yes No  No  No  43.302   1.828   1  Yes
5058    No  No  No  No   7.000  -0.401   2  No
5082    Yes No  No  No   2.776  -1.476   5  Yes
5092    Yes No  Yes Yes 11.180   0.401   2  Yes
5095    Yes No  No  No  11.500   1.006   1  Yes
5097    Yes No  Yes Yes 11.500   0.240   1  Yes
5102    Yes No  No  No  11.547   0.378   1  No
5106    Yes No  Yes No   5.883  -0.609   6  Yes
5109    Yes No  Yes Yes  9.391  -0.515   2  Yes
5130    Yes No  Yes No   7.071  -0.875   8  Yes
5137    No  No  No  No   4.738   0.000   1  No
5149    Yes No  Yes Yes  1.768   0.755   1  Yes
5156    Yes No  No  No  11.500   0.267   3  Yes
5161    Yes No  Yes No  17.100   0.375   2  No
5166    Yes No  No  No  12.374   1.541   0  No
5168    Yes No  No  Yes  8.050   1.120   2  Yes
5178    Yes No  Yes No   8.497   0.917   2  Yes
5184    Yes No  Yes Yes  5.367  -0.393   5  No
5185    Yes No  Yes Yes  5.670   1.164   1  No
5192    Yes No  Yes Yes  7.917  -0.632   4  Yes
5194    Yes No  Yes Yes  7.917   0.592   4  Yes
5197    Yes No  Yes No   1.782   0.665   1  No
5211    Yes No  Yes No   5.081  -1.098   3  Yes
5222    Yes Yes No  No   4.920   0.179   4  Yes
5229    Yes No  Yes Yes 10.286  -0.304   6  Yes
5230    Yes No  No  Yes 11.180  -0.916   2  Yes
5235    Yes No  No  Yes  6.124  -1.170   3  Yes
5237    Yes No  No  No   8.944   0.687   2  Yes
5238    No  No  No  No  10.960  -0.920   5  No
5245    Yes Yes No  No   4.000   0.740   6  Yes
5249    Yes No  No  No   6.708   0.581   2  Yes
5250    Yes No  No  No   6.708   1.118   2  Yes
5252    Yes No  No  No  15.000   0.039   3  Yes
5254    Yes No  Yes No  12.000  -0.042   4  No
5260    Yes No  Yes Yes 12.000  -0.634   4  No
5266    Yes No  Yes Yes  9.238   0.284   2  No
5269    No  No  No  No   4.619  -1.057   5  Yes
5278    Yes No  No  No   2.773  -0.588   6  Yes
5284    Yes No  No  No   3.266   0.113   4  Yes
5291    Yes No  Yes No   3.001  -0.963   3  Yes
5300    Yes No  No  No   0.000   0.069   2  Yes
5312    Yes No  No  No  11.547  -0.755   6  No
5316    Yes No  No  No   7.181   1.223   4  No
5318    Yes No  Yes Yes  5.500   1.166   4  No
5319    Yes No  No  No   5.920   1.643   2  Yes
5320    No  No  No  No   4.750  -1.247   3  Yes
5329    Yes No  Yes Yes  6.798  -0.536   4  Yes
5342    Yes No  Yes Yes 12.247   0.782   3  Yes
5356    Yes No  No  No   5.367   0.566   2  Yes
5357    Yes No  No  No   5.367  -0.618   2  Yes
5358    Yes No  Yes Yes  5.100   0.856   1  Yes
5361    No  No  No  No   4.233   0.044   0  Yes
5363    No  No  No  Yes  8.165  -0.250   3  Yes
5364    Yes No  No  Yes  8.165  -0.600   3  Yes
5365    Yes No  No  Yes  8.165  -0.828   3  Yes
5366    Yes No  No  No   8.165   1.307   3  Yes
5382    Yes No  No  No  12.728   0.472   3  Yes
5383    Yes No  No  Yes 12.522   0.420   8  Yes
5392    Yes No  Yes No   9.365   0.896   3  Yes
5394    Yes No  Yes Yes  6.708   0.750   2  Yes
5395    Yes No  Yes Yes  6.708   0.568   2  Yes
5398    Yes No  No  No   3.578   0.963   3  Yes
5405    Yes No  No  No   1.695   0.608   1  Yes
5407    No  No  Yes No   5.000  -0.762   1  Yes
5410    Yes No  No  No   8.660   1.105   0  Yes
5417    Yes No  No  No   2.828   1.172   5  Yes
5418    Yes No  No  No   2.828   0.546   5  Yes
5419    Yes No  Yes Yes  5.715   1.494   3  Yes
5420    Yes No  Yes Yes  5.715   1.498   3  Yes
5423    No  No  No  No   2.531  -1.730   4  Yes
5435    Yes No  Yes Yes  5.590   0.850   2  Yes
5439    Yes No  No  No   6.425   1.571   4  Yes
5440    Yes No  No  No   6.425   1.360   4  Yes
5441    Yes No  No  No   8.944  -0.270   2  Yes
5443    Yes No  No  Yes  2.000  -1.625   4  Yes
5447    No  No  No  No   3.578  -1.285   3  Yes
5451    Yes No  No  No   8.497  -0.137   3  Yes
5461    No  No  No  No   5.335  -1.781   7  Yes
5463    Yes No  No  No   3.024  -0.560   4  Yes
5468    No  No  No  No   1.191  -1.505   5  Yes
5470    Yes No  No  No   1.991   0.319  10  Yes
5484    Yes Yes Yes No   1.461  -0.551   5  No
5490    Yes No  Yes Yes 17.250  -0.552   1  Yes
5491    Yes No  Yes Yes 17.250   0.360   1  Yes
5494    Yes No  Yes No  10.451   0.230   2  Yes
5500    Yes No  Yes No   9.000   0.128   1  Yes
5504    Yes No  Yes No   2.907   1.006   2  Yes
5512    Yes No  Yes No   7.500   0.506   1  Yes
5514    Yes No  No  No   3.969   0.084   4  Yes
5519    No  No  No  No   4.419  -1.584   5  No
5535    No  No  No  No   6.333  -1.608   9  Yes
5538    Yes Yes No  No   1.508  -1.069  11  Yes
5539    Yes Yes No  No   1.508   0.702  11  Yes
5540    Yes No  Yes Yes 12.611  -0.192   1  Yes
5543    Yes No  Yes No   6.928   1.241   2  Yes
5554    No  No  Yes No   8.573  -0.094   3  No
5556    No  No  No  No   4.246  -1.291   3  Yes
5558    Yes No  No  No   2.356  -1.923   3  Yes
5567    Yes No  Yes Yes  4.503   1.320   4  Yes
5579    Yes No  No  Yes  8.315   0.502   3  Yes
5580    No  No  No  Yes  8.315  -0.303   3  Yes
5585    Yes No  Yes No   3.464  -0.664   0  Yes
5586    Yes No  Yes No  18.000  -0.113   1  Yes
5603    No  No  No  No   1.500  -1.015   2  Yes
5607    Yes Yes No  No   6.973  -0.434   4  Yes
5608    Yes No  No  No   5.196  -1.737   1  Yes
5611    Yes Yes No  No   4.919  -1.062   2  Yes
5613    Yes Yes Yes Yes  3.618  -1.786   8  Yes
5618    Yes Yes Yes Yes  9.449   0.373   4  Yes
5621    Yes No  Yes No   8.944   0.183   2  Yes
5622    Yes No  Yes No   8.944  -0.219   2  Yes
5625    Yes No  No  Yes 10.607   0.529   3  Yes
5637    Yes Yes No  Yes  5.099  -1.179   3  Yes
5653    Yes No  Yes Yes  5.196   0.436   2  No
5655    Yes No  No  Yes 14.434   1.312   4  Yes
5671    Yes No  No  No  22.500   1.065   2  Yes
5672    Yes No  Yes Yes 21.637   0.777   3  Yes
5677    Yes No  Yes No   5.500   0.063   1  Yes
5693    Yes No  Yes No   6.505   0.957   3  No
5694    Yes No  No  No   8.165   0.319   6  No
5711    Yes No  Yes Yes  2.557   0.028   3  No
5726    Yes Yes No  No   4.249  -0.329   2  Yes
5727    Yes Yes Yes No   4.900  -0.694   5  No
5733    Yes Yes Yes Yes  6.000  -0.238   1  Yes
5738    No  Yes No  No   3.406  -1.366   7  No
5759    Yes Yes Yes No   6.803   1.432   5  Yes
5764    Yes Yes No  Yes 15.285   1.043   4  Yes
5772    No  Yes No  No   5.052  -1.402   4  Yes
5778    Yes Yes No  Yes  4.899  -1.351   2  Yes
5779    No  Yes No  No  13.607  -1.503   7  Yes
5785    Yes Yes No  Yes  8.165   1.031   2  Yes
5786    Yes Yes No  No   8.165  -0.365   4  Yes
5791    No  Yes No  No   1.273  -1.357   5  No
5824    Yes Yes Yes No   9.961  -0.347   3  Yes
5842    Yes Yes No  Yes  6.532  -0.139   6  Yes
5847    Yes No  Yes Yes  5.580  -1.575   5  Yes
5850    Yes Yes No  No  10.614   1.108   3  Yes
5863    Yes Yes No  No   6.364  -0.333   5  Yes
5890    Yes No  Yes Yes  3.500   0.715   1  No
5893    Yes Yes Yes No  12.500  -0.031   3  Yes
5894    Yes Yes No  Yes  3.593  -0.579   7  No
5898    Yes Yes Yes Yes  8.000  -0.478   4  Yes
5901    No  Yes No  No   2.944  -1.122   3  No
5903    No  Yes No  No   1.159  -1.741   3  No
5912    Yes Yes Yes Yes  4.243  -0.394   0  No
5917    Yes Yes Yes Yes  5.814  -0.694   2  Yes
5918    No  Yes No  Yes  3.000  -1.433   5  No
5920    No  Yes Yes Yes  2.828  -1.793   1  No
5928    Yes Yes No  Yes  5.303  -0.338   2  No
5929    No  Yes No  No   5.500  -0.834   4  No
5931    Yes Yes No  No   3.801  -1.132   1  Yes
5940    Yes Yes No  No   2.096  -0.041   5  No
5959    Yes Yes Yes Yes  7.865  -1.240   1  Yes
5960    Yes Yes No  Yes  2.055  -1.636   8  No
5961    No  Yes No  Yes  2.055  -1.303   8  No
5979    No  Yes Yes Yes 10.607  -1.363   5  No
5982    Yes Yes Yes No   4.000   0.000   1  No
5987    Yes Yes Yes Yes  4.899  -0.056   4  No
5993    No  Yes No  No   3.017  -1.081  12  Yes
6000    No  Yes No  No   2.330  -1.568   1  No
6012    Yes No  Yes Yes  1.245  -1.662   4  No
6013    Yes Yes Yes No   7.348  -0.187   7  Yes
6014    Yes Yes Yes No   7.348  -1.112   7  Yes
6034    No  Yes No  No   0.787  -0.877   4  No
6035    No  Yes No  No   0.787  -1.888   4  Yes
6038    Yes Yes Yes Yes  5.367  -0.147   4  Yes
6041    Yes Yes No  Yes 11.717   0.555   4  Yes
6052    Yes Yes No  Yes  5.594  -0.934   4  No
6054    Yes Yes No  Yes  4.472   0.001   3  Yes
6057    Yes Yes No  Yes  4.792  -0.101   2  No
6065    Yes Yes No  No  10.607  -0.516   3  No
6077    Yes Yes No  Yes  4.800  -1.797   2  Yes
6085    Yes Yes No  No  10.733  -1.684   2  Yes
6090    No  Yes No  No   1.134  -1.630   5  No
6092    Yes Yes Yes No   1.342  -0.649   2  Yes
